@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_7 numeric
@attribute Std_Acc1000_Mean_Mem40_SFM_16 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18 numeric
@attribute BeatHisto_MaxHPS numeric
@attribute BeatHisto_Std numeric
@attribute BeatHisto_PeriodicSpread2 numeric
@attribute BeatHisto_NumMax numeric

@data

-0.10155,-0.02331,0.000085,0.000085,7.138878,0.403937,0.422343,0.378925,0.309536,2.110756,26.194914,0.000108,0.823861,0.715992,3.339262,0.166948,0.123393,0.053199,0.05682,0.054693,0.110796,0.091801,0.061314,0.008812,0.216443,1.003124,0.000873,0.288984,0.002686
0.219692,0.010288,0.000897,0.00116,4.628601,0.489913,0.502885,0.497667,0.479944,2.119209,8.887608,0.00087,0.765884,0.800861,2.659686,0.170462,0.128838,0.0508,0.060457,0.042676,0.090965,0.069116,0.064699,0.005282,0.218158,1.008094,0.001178,0.279167,0.012931
-0.205895,-0.201598,0.00024,0.000201,6.728366,0.431996,0.412904,0.389634,0.366766,2.123149,6.067787,0.000205,0.736161,0.750653,3.191531,0.177675,0.130511,0.040003,0.045644,0.07965,0.151223,0.118897,0.064518,0.007119,0.216243,1.003194,0.000843,0.290466,0
0.090811,0.141105,0.001035,0.001401,6.211773,0.416299,0.429346,0.422758,0.433984,2.092414,21.774503,0.001067,0.751412,0.859163,3.528594,0.179096,0.146898,0.035603,0.046859,0.033368,0.096886,0.08035,0.033608,0.005712,0.214173,1.006519,0.00103,0.290516,0.010109
0.026183,-0.381686,0.0007,0.000953,6.480257,0.36664,0.403269,0.377775,0.383687,2.157153,5.448013,0.000766,0.868663,0.866374,4.093865,0.211895,0.166123,0.052075,0.056034,0.200048,0.077507,0.065592,0.109653,0.00614,0.215434,1.004548,0.000944,0.277774,0.009051
0.59581,0.792876,0.000059,0.000089,4.229347,0.600809,0.633725,0.598115,0.593247,2.176591,3.412214,0.000045,0.740579,0.700642,2.253564,0.167005,0.14493,0.027617,0.04961,0.007464,0.215033,0.100415,0.010018,0.00861,0.221998,1.002808,0.000871,0.279679,0.001246
0.044413,0.098619,0.000838,0.001042,5.678872,0.481706,0.471224,0.469374,0.426632,2.144337,7.904396,0.000777,0.896817,0.923166,2.977242,0.185398,0.122562,0.052195,0.058911,0.061329,0.135657,0.062274,0.10636,0.007826,0.215669,1.005426,0.001082,0.300208,0.008969
0.096656,-0.04609,0.000277,0.000299,5.49297,0.434032,0.394605,0.385443,0.423416,2.138154,4.938211,0.000534,0.807604,0.741922,3.483118,0.194214,0.170037,0.055049,0.076355,0.047766,0.102865,0.06301,0.043231,0.008813,0.212433,1.011973,0.002017,0.237677,0.013362
0.186416,0.047046,0.000381,0.000394,5.164016,0.48155,0.446541,0.455971,0.438845,2.149817,5.314982,0.000753,0.863219,0.814242,3.066868,0.174494,0.137863,0.057107,0.060885,0.043155,0.110666,0.067017,0.064575,0.008418,0.215342,1.00729,0.001151,0.284721,0.017345
0.062547,0.239611,0.000203,0.000206,5.165156,0.43044,0.455885,0.40394,0.37841,2.143515,5.635296,0.000164,0.74787,0.6574,3.437152,0.165222,0.128914,0.040879,0.039028,0.030125,0.091928,0.059525,0.060609,0.005144,0.2172,1.005423,0.000971,0.282192,0.003518
0.24058,-0.221173,0.000105,0.000152,6.90238,0.492926,0.352581,0.338064,0.360792,2.165239,7.671087,0.00013,0.688233,0.723495,4.54406,0.175306,0.172379,0.0487,0.06851,0.172944,0.0888,0.105522,0.166451,0.008605,0.214676,1.008684,0.001231,0.281611,0.014695
0.015871,0.28511,0.000029,0.000027,7.929351,0.309256,0.295916,0.224762,0.236005,2.129261,11.742934,0.000029,0.988855,0.67413,4.250393,0.144625,0.115339,0.037189,0.04067,0.059263,0.093061,0.100501,0.065407,0.004193,0.21412,1.004122,0.001033,0.289455,0
-0.14194,0.005782,0.000352,0.000476,6.127938,0.454802,0.486178,0.449253,0.379829,2.098398,10.125269,0.000619,1.013289,0.759049,3.418677,0.156232,0.151691,0.056212,0.038526,0.043919,0.077612,0.054408,0.082223,0.006778,0.206448,1.00657,0.00136,0.301283,0.010769
0.229647,0.408694,0.000133,0.000204,7.579884,0.36819,0.367477,0.332574,0.435286,2.105719,13.17818,0.000097,0.897461,0.900935,3.935056,0.189197,0.161411,0.046095,0.058548,0.061632,0.127094,0.115946,0.11159,0.005996,0.212744,1.00578,0.001099,0.308956,0.005182
-0.003057,-0.085894,0.000356,0.000419,5.068911,0.373583,0.410169,0.431398,0.37478,2.109932,13.988159,0.000224,0.764069,0.657379,4.508221,0.17243,0.138174,0.039865,0.041867,0.044957,0.084205,0.078174,0.02121,0.00578,0.215974,1.004068,0.000875,0.290825,0
-0.293485,0.325242,0.00014,0.00013,4.830257,0.392356,0.45157,0.482674,0.445182,2.129888,5.793345,0.000147,0.839974,0.786032,3.101126,0.198887,0.136545,0.051703,0.07283,0.042559,0.12812,0.070941,0.06368,0.009823,0.215979,1.008034,0.00135,0.299267,0.015842
-0.279338,-0.280446,0.000154,0.000207,4.938974,0.493728,0.511693,0.499767,0.412076,2.132515,4.809106,0.000239,0.689548,0.659423,3.300983,0.197588,0.124469,0.052839,0.068871,0.072928,0.083017,0.067738,0.064205,0.011196,0.215186,1.006246,0.001287,0.269598,0.014894
0.419316,0.090565,0.000897,0.001329,4.967346,0.48675,0.460975,0.477095,0.425559,2.12408,7.044019,0.001087,0.761289,0.763284,2.750853,0.192903,0.131356,0.055001,0.053112,0.060319,0.084508,0.078438,0.056736,0.005837,0.213866,1.005973,0.001015,0.27828,0.014084
0.283373,0.190756,0.000052,0.000084,8.898919,0.483198,0.411873,0.300224,0.301686,2.075515,21.854332,0.000045,0.765782,0.80852,4.531284,0.173117,0.121679,0.030374,0.034674,0.059819,0.100424,0.102795,0.018449,0.004258,0.214299,1.002558,0.000803,0.28376,0
-0.234053,0.163519,0.000494,0.000616,6.675491,0.400921,0.356656,0.394495,0.446019,2.104318,17.614151,0.000438,0.833635,0.744222,3.377225,0.179863,0.144393,0.053692,0.063264,0.039955,0.126438,0.074839,0.068391,0.008125,0.211901,1.002858,0.000842,0.28445,0.002378
0.408873,0.16152,0.000343,0.000442,4.795168,0.49909,0.522795,0.500728,0.445165,2.113978,6.413508,0.000434,0.744604,0.800117,2.970633,0.176784,0.11525,0.037369,0.04977,0.054463,0.128525,0.061267,0.07569,0.004374,0.215828,1.003497,0.000946,0.283328,0.00268
0.010925,0.158863,0.000174,0.000203,5.329634,0.420517,0.360808,0.425943,0.444532,2.097765,14.727732,0.000134,0.756659,0.800704,3.133111,0.181486,0.141145,0.032251,0.048647,0.020564,0.083816,0.067579,0.06361,0.004207,0.211193,1.004388,0.001052,0.295175,0.006186
0.22668,0.525211,0.000127,0.000151,6.652765,0.396029,0.400526,0.412709,0.363896,2.185661,2.61409,0.000181,0.810367,0.790848,4.06269,0.178967,0.139506,0.053336,0.072439,0.057425,0.155836,0.093144,0.095831,0.009491,0.217462,1.006906,0.001373,0.277931,0.011824
0.167236,0.172677,0.000425,0.000627,5.299698,0.377102,0.504015,0.488011,0.460612,2.140674,5.346278,0.000415,0.746908,0.983584,2.831423,0.184008,0.15269,0.057784,0.07927,0.08147,0.127533,0.112627,0.118951,0.009689,0.215778,1.008931,0.001584,0.272549,0.010642
-0.070115,-0.193858,0.000665,0.000835,5.957278,0.453748,0.402315,0.411027,0.37109,2.141689,7.29001,0.000658,1.087617,0.884995,3.736298,0.19933,0.15183,0.073946,0.080195,0.082533,0.101004,0.082481,0.086765,0.008772,0.212967,1.009599,0.001436,0.276626,0.018619
