@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_linregc2 numeric
@attribute output {groovy,notgroovy}

@data

0.009769,7.807291,565,-5.978161,0.139436,21.1361,-2.069933,37.05114,4.527844,4.321929,1.486027,2.995091,3.674065,3.129272,0.00605,3.497393,0.769666,0.194209,0.268247,0.000007,10.66301,-0.000001,6.554137,8.637291,0.001897,1.122745,1.059597,0.865275,0.183367,0.000001,1.310023,-1.010902,1.34401,1.07201,0.000003,0.007274,5.83781,-0.186089,0.001794,0.188826,groovy
0.044986,2.426717,2362,-7.778551,0.034345,17.79911,1.042315,13.6633,3.011123,3.322855,2.500011,3.264169,2.910499,4.021474,0.005445,3.248899,0.689715,0.127941,0.918856,-0.000001,5.777754,0,4.731301,8.215856,0.001136,0.782757,0.88474,0.769467,0.489145,0.000004,1.069466,0.23419,1.247584,1.442161,-0.000002,0.007266,6.806902,-0.134052,0.000969,0.061783,groovy
0.04689,4.480355,1781,-13.84899,-0.293174,21.21361,-2.168649,22.13601,3.429153,3.892154,1.389591,3.765737,5.037648,4.017103,0.011494,3.336609,0.783317,0.107969,2.134588,0.000046,4.656029,0.000005,3.981514,9.859913,0.001259,2.041902,1.428962,1.799568,0.222625,0.000016,1.738226,-0.090103,1.755167,1.702021,-0.000002,0.025069,4.173335,-0.183766,0.000906,0.03546,groovy
0.016704,2.007531,1638,-10.89539,0.220375,19.01909,-5.612788,14.09659,2.622593,2.908241,-1.029008,2.852671,2.939509,4.421462,0.004235,4.756941,0.624874,0.114709,0.769549,0.000018,5.932905,0.000002,7.316216,7.817069,0.00195,0.904446,0.951024,1.204436,0.858228,0.000003,1.459566,0.53404,1.701705,1.895766,0.000001,0.013436,9.819985,-0.098731,0.000575,0.028437,groovy
0.009348,5.220814,2598,-7.639696,0.45183,17.42108,3.484761,14.36926,2.370226,2.911278,-2.225224,2.917898,3.531658,3.03493,0.00363,2.561815,0.556807,0.096363,0.822729,0.000007,5.010501,-0.000002,3.926019,9.43529,-0.00285,1.642388,1.281564,2.035951,0.575268,0,2.42164,0.008322,1.962158,2.354127,0.000003,0.014818,5.52248,-0.098306,0.000843,0.009198,groovy
0.025871,7.535109,1888,-10.84791,0.034838,22.05293,3.458158,19.99159,3.244164,2.891287,-1.674436,3.640709,3.192768,4.345221,0,16.59218,0.756679,0.152,1.065548,-0.000031,8.11604,-0.000003,6.82723,11.07325,-0.004668,1.812971,1.346501,1.149682,0.628133,-0.000005,1.578697,-0.198529,1.72319,1.770693,-0.000009,0.016151,14.17356,-0.159373,0.00126,0.083246,groovy
0.026379,2.372982,15,-11.04992,-0.233755,19.27869,-1.732176,16.20002,3.118641,2.761377,-3.405018,3.795947,2.913255,3.099217,0.007864,2.408823,0.773728,0.229103,-0.113607,0.000018,5.863241,-0.000001,5.258185,6.844402,-0.002262,0.589678,0.767907,0.59444,0.176152,0.000006,1.419303,-0.046227,1.295627,1.470724,-0.000007,0.00948,4.401187,-0.181511,0.001823,0.160183,groovy
0.015403,3.974374,2972,-5.357898,-0.398953,19.42953,-0.530733,12.87929,2.694255,3.09749,-4.893079,2.828352,3.162326,2.712421,0.006655,6.058153,0.740873,0.186408,0.053122,0.000024,9.90955,0.000002,5.660862,8.34865,-0.000922,0.935757,0.967346,1.075379,0.413776,-0.000002,1.251877,0.407904,1.455217,1.685761,0.000005,0.008528,7.96953,-0.153284,0.001119,0.206576,groovy
0.02168,6.077974,1411,-2.085065,-0.269983,17.11523,-1.948102,13.39235,3.328369,3.5623,-0.43936,2.950248,2.822865,3.672247,0.005445,25.09304,0.798107,0.203851,0.27289,-0.000027,8.985558,-0.000002,5.302503,13.00538,0.002333,1.673345,1.293596,0.842302,-0.007568,-0.000001,1.306318,0.981204,0.968568,1.306112,0.000001,0.008064,18.22703,-0.192157,0.001764,0.045819,groovy
0.029232,2.175287,2601,-14.35728,0.181058,13.09713,-2.91539,20.277,3.14798,3.47807,0.393418,3.764622,3.788681,3.340888,0.00363,3.036822,0.698781,0.12827,0.581039,0.000021,4.057625,0.000003,4.05447,10.20157,-0.002505,1.330563,1.153529,1.373328,0.991416,0.000004,1.445063,0.076005,1.584581,1.757471,0.000003,0.025578,4.672745,-0.164176,0.00126,0.034781,groovy
0.02961,7.073087,1700,-16.9885,0.31245,16.63797,-1.006247,17.35021,2.455632,3.590835,2.737198,3.249713,3.577501,3.1948,0.008469,4.403007,0.746629,0.134756,1.9823,0.000002,11.48214,0.000004,9.404021,9.308645,-0.000369,1.357883,1.165301,1.118603,0.969153,-0.000004,1.261175,0.408432,2.026572,1.518004,0.000007,0.020202,7.608114,-0.173467,0.00076,-0.039575,groovy
0.039351,2.829682,2855,-8.308623,0.836816,11.99736,0.348578,20.70183,2.651442,4.072933,0.49005,3.144692,3.467898,3.251931,0.00726,3.720413,0.779936,0.202463,0.472069,-0.000007,6.198761,0.000001,7.739399,8.763344,-0.001515,0.891063,0.944,0.972904,0.183354,0.000005,1.02396,-0.195898,1.019118,1.477955,-0.000005,0.009524,9.292131,-0.163426,0.001756,0.027487,groovy
0.009469,1.724159,1451,-8.699062,0.686034,28.14619,3.070719,16.86368,3.698225,3.358969,0.833599,2.750327,2.973897,3.68367,0.00242,3.483734,0.713698,0.182045,0.554484,-0.000006,4.783741,0.000007,4.602348,10.50485,0.0018,1.483542,1.21801,1.353526,-0.022855,-0.000001,1.523018,-0.214213,1.250749,1.456319,0.000003,0.011889,5.760173,-0.142413,0.001382,-0.132632,groovy
0.056076,6.603766,2059,-11.9003,0.028252,30.38835,4.026894,20.75901,3.062319,3.234563,3.119225,3.449411,3.078123,3.700403,0.00605,4.053246,0.683226,0.127741,1.313106,0.000075,7.495475,0.000007,5.170088,8.861074,0.001412,1.144634,1.069876,0.81609,0.07855,0.000003,1.543339,0.049797,1.714487,1.587925,-0.000005,0.014714,6.695448,-0.1701,0.001084,0.052187,groovy
0.041916,8.886453,2858,-10.08654,-0.268604,11.62008,-2.083864,18.90933,3.305761,3.292965,-1.091824,3.346518,3.434127,3.419366,0.010284,10.15903,0.706659,0.149509,1.112748,0.000037,6.201388,0.000002,4.584348,10.10999,0.000017,1.651851,1.285244,1.340108,0.472942,0.000006,1.356761,0.145469,1.568486,1.457122,-0.000003,0.017055,9.319905,-0.163977,0.001661,0.032356,groovy
0.033475,6.09869,19,-9.533833,-0.216133,20.21406,1.29019,21.48222,2.65942,3.558793,-3.684114,3.085557,3.280445,5.23721,0.004235,10.26615,0.809464,0.191396,1.155843,0.000036,7.835877,0.000009,6.334774,11.10653,0.004045,1.556112,1.247451,1.635023,0.586365,0.000001,1.870937,0.442123,1.853544,1.718397,0.000017,0.018533,14.96557,-0.205851,0.001209,-0.089554,groovy
0.020824,2.361207,1730,-7.306922,0.596156,16.84544,0.951616,15.3555,2.652746,2.980431,-9.638644,2.619536,2.980031,2.804101,0.00605,3.420006,0.643262,0.081155,1.032151,-0.000006,5.201257,-0.000002,5.496089,6.749719,-0.000925,0.75809,0.87069,0.842413,0.122446,-0.000004,0.928987,-0.314924,1.054395,0.990888,0.000003,0.006603,3.955266,-0.15671,0.000614,0.00897,groovy
0.034294,4.95676,1611,-10.13214,-0.018546,21.21903,-0.902801,23.32149,3.138395,3.051289,0.197569,3.516956,3.256114,3.337458,0.00363,11.43857,0.818353,0.221075,0.301453,0.000002,10.92231,0.000001,6.496037,10.29694,-0.005973,1.186203,1.089132,1.38605,0.236904,0.000009,2.09627,0.06795,2.084337,2.289869,0.000001,0.014436,10.11299,-0.198613,0.002289,0.049252,groovy
