@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute F0_sma_de_maxPos numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.012505,0.009462,0.000077,6.876257,10.15327,0.210049,0.356397,0.419307,-4.598822,-1.944918,-0.001444,-2.209067,-0.103401,0.047958,0.034438,0.0422,37.80664,0.16804,-0.212408,0.000003,0.001509,-0.126208,30.3303,12.72646,0.45287,10.03665,3.362712,0.542789,3.841376,2425,-0.118754,6.418083,0.715991,-4.182251,7.954343,0.72283,0.775059,0.000006,0.788036,-0.004029,0.000057,-0.144314,0.000411,-0.170696,1233,8.437482,sad
0.019899,0.018575,0.000154,-4.304217,-4.32106,-0.690158,0.649595,-1.049288,6.459937,0.101488,0.000241,-1.620085,-4.462312,0.06827,0.063819,0.049004,11.07668,0.163862,0.182448,0.000003,0.002188,2.070394,12.71042,8.934152,0.505861,5.503281,4.146924,0.505894,3.513896,1451,-0.053034,4.260067,0.93446,-3.855218,8.07449,1.204746,1.053664,-0.000004,0.95859,0.000177,0.000054,-0.135929,0.000806,0.117717,2404,7.369156,sad
0.011461,0.006299,0.000125,-5.855858,-5.027555,-1.263568,-0.232984,-0.130355,0.996442,-2.040003,0.000825,-2.926541,-3.063923,0.029748,0.023513,0.032652,23.54127,0.141516,1.130843,0.000004,0.002322,1.427083,51.57556,7.346179,0.620235,5.767758,2.913084,0.477665,3.131978,2724,-0.014587,4.697294,1.13728,-4.983932,8.116244,0.93708,0.871633,0.000003,0.875045,-0.00107,0.000049,-0.111345,0.000549,-0.836941,1686,39.10904,sad
0.016157,0.017675,0.000258,-5.925747,-4.609956,-0.13043,0.071354,-1.404893,-4.106616,-3.340973,-0.002582,7.028053,7.508049,0.067476,0.06173,0.040806,3.38577,0.112564,0.210197,0.000001,0.004864,1.451062,8.476058,3.42517,4.376017,5.497324,5.978183,2.039591,8.640828,1966,0.654545,4.076671,2.599023,-4.192019,9.492177,1.726389,1.684883,0.000012,3.069711,-0.003364,0.0001,-0.178312,0.002616,-0.504044,3,3.740242,sad
0.016418,0.01243,0.000158,-7.40882,-6.968699,-1.124184,0.18432,-1.885906,-2.317858,-3.528481,0.002553,-10.86014,-4.686838,0.047798,0.040422,0.039889,18.84938,0.127551,1.110561,-0.000002,0.00254,1.902547,19.04904,7.698142,0.363807,6.334922,3.451527,0.392762,3.115811,2644,0.408882,4.323894,0.663946,-3.456144,6.49324,0.841961,0.707141,-0.000005,0.754571,0.001515,0.000059,-0.094857,0.000291,-0.469963,868,118.3565,sad
0.0045,0.003451,0.000011,-0.680521,-0.428022,-1.089392,0.025569,-0.881479,-5.870513,-10.02502,-0.000302,-3.282916,-4.018907,0.032275,0.02624,0.029246,48.13268,0.170954,0.344694,0,0.000561,-0.301431,33.41754,7.547389,0.428765,6.060108,3.728393,0.571477,3.431971,993,-0.275249,5.300111,0.905662,-4.278142,8.636481,1.053445,1.132967,0.000009,0.879048,0.000619,0.000035,-0.09613,0.000469,-0.159936,834,15.52404,sad
0.014899,0.008557,0.000034,-0.2143,3.485484,-1.334975,-0.104289,-1.204179,-1.569126,0.519463,0.001291,-6.334956,-3.835784,0.064802,0.060292,0.02464,10.12655,0.140155,0.454544,0.000003,0.001299,4.47914,46.33677,10.60808,0.255216,5.212389,3.542347,0.413374,2.67427,2058,0.067518,3.218661,0.661397,-3.254187,6.408191,0.863073,1.034843,0.000004,0.893754,0.002702,0.000022,-0.093226,0.000469,-0.048082,46,15.53935,sad
0.024504,0.028011,0.000211,-5.071877,-6.783561,-0.16591,0.101636,-0.553246,-7.521898,-7.275047,0.000142,-0.587077,-1.055095,0.079607,0.097075,0.031407,4.216183,0.185097,1.117135,-0.000002,0.003313,0.948961,9.316602,5.423236,0.480206,5.284096,3.082571,0.544818,5.136488,1802,-0.082069,4.870645,0.77641,-3.592683,6.779997,1.200506,1.017349,0.000002,0.953188,0.000185,0.000041,-0.115581,0.000912,0.022167,2883,10.90903,sad
0.018631,0.022297,0.000169,2.500121,3.930295,-0.654764,0.145386,-4.088248,-6.731828,-1.393558,-0.000392,0.971338,3.302526,0.053863,0.059248,0.027157,15.74497,0.145892,0.355439,0.000002,0.002069,0.950263,18.19303,9.815068,0.400939,5.190449,3.279744,0.510612,3.270463,509,-0.169428,4.879375,0.891427,-4.161633,7.54598,0.88107,0.938206,0.000007,0.954351,-0.002267,0.000026,-0.16088,0.000821,0.045793,2826,7.246637,sad
0.050514,0.038793,0.000319,-10.06304,-8.436417,0.200596,0.405135,4.107318,-1.216531,3.797207,-0.000557,1.508009,2.496241,0.119402,0.097423,0.041169,4.734577,0.133833,0.776622,0.000013,0.00385,1.290785,6.475264,7.18017,0.760584,6.434984,3.727362,0.750777,4.249336,273,0.763839,4.551448,0.908052,-3.95892,7.90059,1.240589,0.993498,-0.000006,1.116787,-0.000538,0.000079,-0.138186,0.000863,-0.33762,2987,9.03523,sad
