@attribute mfcc_sma_de[7]_range numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[9]_range numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute voiceProb_sma_de_min numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute F0_sma_de_kurtosis numeric
@attribute output {sad,notsad}

@data

0.014121,0.000077,4.264884,-20.39953,-2.353541,-0.453532,-0.917171,-6.566551,-0.841558,-3.772218,0.048221,0.042637,0.036518,0.168833,0.492193,0.462883,0.000001,0.001204,0.72487,26.17511,525,-0.645883,10.42083,9.257236,0.304905,0.410383,5.328414,0.661487,4.574382,6.57656,0.826103,8.412228,0.672653,0.001138,0.612945,-0.109098,0.000597,9.82363,sad
0.005047,0.000011,10.02428,-21.3388,-1.736122,-2.327697,-0.878566,1.211701,-0.350389,-2.382445,0.026298,0.025365,0.019088,0.164242,0.463595,0.139291,0,0.000618,0.755302,24.9531,704,-0.352439,7.676151,4.78817,0.563386,0.658839,3.316084,1.02733,3.441481,9.024804,1.199332,8.557787,1.401415,0.006052,1.165507,-0.131739,0.000726,5.094867,sad
0.006021,0.000032,12.02724,-18.25606,2.783478,6.997058,-0.813015,-1.128951,-0.251299,4.330142,0.025025,0.013701,0.025433,0.164229,0.410238,0.799968,0.000002,0.001107,1.798085,47.79694,2116,-1.280761,12.65114,8.800283,0.634094,0.674045,6.728951,1.031549,5.482836,9.459593,1.117717,10.12507,0.937592,-0.00106,0.76775,-0.128585,0.000505,12.43188,sad
0.008925,0.000085,12.29067,-17.37062,-0.809311,10.50882,-0.258655,-8.154019,0.23096,0.64717,0.048186,0.011984,0.037502,0.126932,0.704393,0.419967,0.000002,0.001203,2.648744,20.95057,1742,-0.743499,10.77339,7.95784,0.486463,0.76139,3.385885,1.395427,2.953616,8.938768,1.984838,9.750292,1.305113,-0.000094,0.595315,-0.174561,0.000773,6.983242,sad
0.025894,0.000187,0.689911,-20.4118,-7.925257,-6.983526,-0.832353,3.373488,0.404043,-3.499744,0.074069,0.065683,0.040204,0.154455,0.32878,1.362291,-0.000008,0.00295,1.39641,8.84727,1443,-0.439747,4.482948,4.164039,1.026035,1.116483,4.505582,1.655815,3.18976,8.864515,1.74874,8.784458,1.525689,-0.000288,1.130823,-0.157229,0.000808,16.82451,sad
0.033829,0.000359,3.081135,-17.77325,-8.513487,-8.84225,0.421694,-0.64049,0.572356,-0.296738,0.094164,0.089864,0.051589,0.141582,0.399745,0.659509,0.000012,0.002141,1.126911,8.279298,355,-0.222507,6.639095,6.838206,0.466873,0.794863,5.351076,0.906404,3.506212,7.401545,0.787472,8.03857,0.921794,0.00021,0.759282,-0.119845,0.000783,13.85361,sad
0.029187,0.000127,7.981878,-13.02042,-3.549634,-4.465762,0.009764,-1.053911,0.061711,-3.328904,0.049218,0.045249,0.023737,0.130396,0.335569,0.464176,-0.000001,0.002433,0.937064,5.02546,114,-1.357367,5.674336,4.344702,0.50325,0.654908,3.674489,1.016447,4.027433,9.206085,1.309177,9.622749,1.230012,-0.004881,1.151654,-0.144433,0.001089,9.836322,sad
0.013211,0.000121,6.366721,-23.21079,-3.453819,-3.447848,-1.270674,0.069137,0.227849,-0.071719,0.037094,0.036001,0.030562,0.16559,0.389286,0.61893,0.000003,0.001843,0.825163,41.55698,1384,0.087589,10.39692,4.73701,0.531721,0.672833,4.056394,0.873972,4.19333,9.464857,1.028826,10.92677,1.120332,0.000595,0.884374,-0.121989,0.000594,9.252103,sad
0.013973,0.000085,14.05832,-14.04417,0.120059,6.379466,0.140323,-2.272534,-0.062291,0.00203,0.038999,0.023022,0.022998,0.161951,0.499644,1.073613,0.000009,0.00084,2.460505,25.3019,2082,-1.472292,7.852193,6.306018,0.471347,0.833713,5.626136,0.77435,4.492054,8.378832,0.842734,6.979662,0.882812,0.000561,0.582427,-0.120027,0.000522,16.44621,sad
0.002793,0.000006,14.18873,-16.03144,2.131227,3.154784,-0.328379,-0.806026,0.096107,-0.882862,0.017887,0.021524,0.008121,0.198457,0.593297,0.263158,0,0.000262,4.809422,55.33933,1330,1.099558,38.34515,18.43333,0.280264,0.438655,16.9901,0.531508,5.937149,7.476535,0.596805,7.071432,0.541286,0.0021,0.494993,-0.111021,0.000283,7.092299,sad
