@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sad,notsad}

@data
4.083944,1.249448,0.898682,0.897013,91.16395,6.156857,0.007252,6751.677,0.002316,262.6872,24281.8,sad
5.478957,1.447184,0.87366,0.889435,117.2151,5.453921,0.007136,9655.352,0.003411,864.8926,328044.4,sad
4.249051,1.275059,0.649262,0.884293,160.5431,6.055914,0.008474,11543.71,0.003147,587.7484,76481.7,sad
4.300582,1.236469,0.751653,0.877376,194.3668,6.838033,0.021373,24381.75,0.004425,555.1334,65692.3,sad
4.614956,1.312358,1.130669,0.905698,99.33734,6.191357,0.01239,5188.051,0.002407,364.6798,31165.29,sad
3.587026,1.173391,0.723938,0.874104,58.88771,6.600222,0.003627,2653.325,0.001243,286.8578,53153.14,sad
4.820955,1.361374,0.901761,0.890249,96.83379,5.499496,0.017888,5692.216,0.00273,651.0555,111469.1,sad
3.818139,1.20055,0.70369,0.86985,83.80338,6.675805,0.003549,4103.055,0.002012,375.0366,45230.62,sad
2.921466,1.017903,0.571086,0.855234,190.6958,8.17858,0.012626,16459.69,0.002967,374.7656,18488.19,sad
4.460188,1.357732,0.586157,0.885763,62.36436,5.408779,0.0069,3284.328,0.004653,630.7932,331120.6,sad
4.509779,1.28149,0.862255,0.884067,87.56451,6.473534,0.01536,9913.45,0.003188,672.643,81339.36,sad
4.642903,1.327559,0.925552,0.900155,57.62271,5.889014,0.006717,2982.61,0.006496,373.3269,45311.8,sad
3.966386,1.202309,0.746029,0.889801,140.4171,6.638214,0.00802,11819.83,0.001338,419.4605,47648.47,sad
4.629351,1.347301,0.951337,0.89722,93.82027,5.904164,0.006393,5311.126,0.00507,326.6114,41291.87,sad
4.57704,1.325353,0.647629,0.884545,83.69317,5.721067,0.003749,6015.114,0.002366,553.6899,319476.8,sad
5.230201,1.411234,1.091427,0.900704,40.88044,5.68805,0.00687,1362.66,0.002866,424.9108,127036.8,sad
3.611462,1.178889,0.350165,0.860067,124.2569,6.747261,0.001976,5924.651,0.001689,297.0701,37966.44,sad
3.978108,1.246212,0.713767,0.884321,99.80855,6.152621,0.014384,11507.57,0.004428,380.7585,41222.85,sad
3.116985,1.111033,0.85029,0.87731,36.71808,6.678669,0.005459,1138.264,0.003073,131.4122,4973.755,sad
3.730644,1.195745,0.613127,0.881456,111.9074,6.436817,0.003139,12149.75,0.002484,429.5162,203823.7,sad
4.310438,1.299943,0.910236,0.900862,107.6784,5.899898,0.006556,6407.189,0.00423,307.5709,48274.18,sad
2.973008,1.054712,0.67727,0.859824,104.4768,7.349464,0.003885,7395.093,0.003371,186.485,1591.798,sad
3.76492,1.228933,0.595498,0.884781,61.73565,6.197182,0.003962,2130.474,0.00217,206.2124,15816.1,sad
4.911936,1.33275,1.237892,0.901162,93.73117,6.183296,0.00979,5372.562,0.004369,469.2338,32815.08,sad
3.459789,1.137056,0.692044,0.887121,60.40195,6.918732,0.007357,2059.766,0.003685,304.7174,18240.69,sad
3.709862,1.151159,0.81909,0.882002,98.66719,6.905405,0.008517,4406.194,0.00464,398.4912,43494.9,sad
4.364539,1.286437,0.799156,0.895014,99.69335,6.329473,0.00732,7798.111,0.00268,409.8957,161141.5,sad
4.289406,1.214071,0.722235,0.888508,187.0024,7.187244,0.003591,11260.26,0.000654,358.1641,76871.97,sad
3.807238,1.217574,0.61433,0.88106,113.3137,6.245331,0.005927,4881.138,0.002053,435.9383,10564.31,sad
4.827152,1.336339,0.878454,0.884937,116.8934,6.198224,0.008392,6741.82,0.001562,695.9033,459046.1,sad
4.678347,1.366765,0.788243,0.89041,38.89968,5.377218,0.007619,4773.023,0.002917,504.7218,275090.4,sad
4.255772,1.271315,0.972738,0.889869,52.68374,6.217236,0.005681,3305.801,0.004567,400.5771,124691.2,sad
5.134902,1.438051,0.515514,0.882199,27.35478,5.044005,0.007126,742.2183,0.004377,843.7663,617852.3,sad
4.996122,1.477763,0.519661,0.879478,34.85811,4.724573,0.003507,2240.676,0.00323,718.4357,772844.3,sad
4.20214,1.388252,0.496727,0.888371,15.68091,4.549263,0.007533,410.4737,0.005186,544.3635,146232.8,sad
4.275052,1.253871,0.766327,0.874559,114.1254,6.681299,0.005079,8380.311,0.001786,446.5482,161404.6,sad
4.656302,1.323332,0.98002,0.889247,133.6396,6.059886,0.014159,12398.06,0.006803,507.7075,60621.02,sad
4.16382,1.225801,0.685868,0.882225,82.54332,6.632791,0.009872,5837.8,0.002571,459.5792,126586.2,sad
5.49366,1.471868,0.629188,0.880414,83.32015,5.116812,0.009205,4924.657,0.004079,851.7719,97215.5,sad
6.232763,1.441912,1.288113,0.899094,201.6053,6.25277,0.007829,19353.78,0.002462,690.4479,108432.5,sad
4.68905,1.334648,1.035316,0.889121,71.54593,5.960789,0.006386,3046.835,0.003347,435.3406,126622.6,sad
4.03589,1.271521,0.601359,0.896628,133.5562,5.863801,0.007697,7184.64,0.003678,282.964,53632.75,sad
2.936316,1.076913,0.592652,0.867781,40.27171,7.25011,0.003716,1434.52,0.002799,265.8175,26744.12,sad
3.826408,1.189713,0.69214,0.881672,71.13964,6.723567,0.005313,1832.564,0.00113,357.017,16820.97,sad
4.001925,1.248554,0.6418,0.885097,44.17663,6.274341,0.003992,1963.214,0.002623,348.4133,149382.5,sad
3.48089,1.120005,0.636227,0.8669,187.7205,7.494149,0.007014,17650.03,0.002634,340.6489,22294.17,sad
4.362623,1.324396,0.659416,0.889558,39.04234,5.618176,0.008205,1214.904,0.003779,485.2332,213361,sad
4.509804,1.279891,1.005153,0.895385,120.053,6.46462,0.006824,9947.184,0.003218,398.4011,25434.87,sad
3.453835,1.110907,0.697654,0.867595,87.96159,7.44613,0.003097,4555.965,0.003689,293.2293,46134.79,sad
5.440701,1.450971,1.004495,0.895009,49.15623,5.36689,0.016126,2261.951,0.004623,681.2239,206134.6,sad
4.681034,1.359319,0.67968,0.888233,55.60623,5.506322,0.005362,4466.587,0.001889,592.6157,310150.9,sad
5.71689,1.359132,1.414946,0.888337,72.68625,6.920188,0.003235,3151.565,0.003792,501.4327,189766.6,sad
4.433932,1.350549,0.622049,0.895166,117.3873,5.40355,0.014755,8911.563,0.004089,321.4041,121954.2,sad
4.442036,1.365378,0.499224,0.883943,109.6959,5.20156,0.016487,18572.14,0.004405,550.7422,280751,sad
5.236255,1.497943,0.631472,0.898396,94.2724,4.656398,0.010202,7754.567,0.005943,570.2795,186484.9,sad
3.861532,1.30831,0.336482,0.878018,173.7205,4.765493,0.008031,15123.79,0.002395,641.0833,309914.2,sad
4.139965,1.26031,0.605345,0.866316,38.27033,6.29396,0.004255,757.2899,0.003811,486.1754,33698.43,sad
3.897666,1.246037,0.575323,0.887631,100.5866,5.909855,0.006555,5536.038,0.002284,410.7076,67108.81,sad
3.897902,1.270869,0.712427,0.86801,32.09511,6.027476,0.004089,1843.925,0.003379,393.7291,165815,sad
5.142152,1.389359,0.908491,0.89352,30.31725,5.794043,0.011861,1213.804,0.004496,655.9339,168517.7,sad
4.08061,1.253686,0.68315,0.885534,81.84519,6.185971,0.005622,4460.46,0.002401,442.4589,197498,sad
2.921913,1.056748,0.34369,0.856214,163.8765,7.089049,0.008565,13040.72,0.002289,389.1522,40771.06,sad
3.834434,1.222971,0.746074,0.895339,137.8829,6.439735,0.006204,4989.007,0.003688,244.2134,7439.165,sad
4.312326,1.338964,0.509404,0.89607,126.2001,5.175335,0.005264,7324.273,0.003201,311.2608,49432.43,sad
