@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[2]_linregc1 numeric
@attribute mfcc_sma[5]_minPos numeric
@attribute mfcc_sma[7]_minPos numeric
@attribute mfcc_sma[7]_amean numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_kurtosis numeric
@attribute mfcc_sma[9]_amean numeric
@attribute mfcc_sma[9]_kurtosis numeric
@attribute mfcc_sma[10]_min numeric
@attribute mfcc_sma[10]_amean numeric
@attribute mfcc_sma[11]_kurtosis numeric
@attribute mfcc_sma[12]_linregerrQ numeric
@attribute mfcc_sma[12]_stddev numeric
@attribute mfcc_sma[12]_kurtosis numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_RMSenergy_sma_de_skewness numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_kurtosis numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute pcm_zcr_sma_de_minPos numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute F0_sma_de_max numeric
@attribute output {funny,notfunny}

@data
0.246492,-13.12746,-14.76826,0.001134,1635,2541,3.019927,3.397914,3.55662,-0.222325,4.061584,-13.88267,-0.458126,3.684017,16.3121,4.069646,3.658173,0.112939,0.862299,5.340696,5.390941,4.268442,0.000846,1.445151,0.013212,2498,1.465061,747,0.000106,117.5467,funny
0.123723,-11.59682,-7.616976,-0.000745,1388,280,-2.500759,3.290615,3.217468,-2.041592,2.892688,-21.51344,-5.336895,2.666225,16.57789,4.085797,3.121377,0.07243,0.67936,4.827077,4.615837,4.090227,0.003152,1.277256,-0.12259,202,1.198876,1023,0.000093,121.2671,funny
1.898905,-5.348442,-5.442526,-0.000471,1447,608,7.508152,2.813252,2.722759,-2.268986,4.984684,-14.08259,1.258681,3.638373,18.92296,4.350418,2.544677,0.040233,1.262228,9.117344,3.354207,3.202408,0.001474,0.940383,-0.026001,2121,1.131379,195,0.000049,97.63342,funny
-0.034372,-6.210348,-6.170211,-0.000485,691,1712,-1.346988,3.591171,3.06189,2.239145,3.073109,-19.53653,-3.600744,3.14943,15.72914,4.004141,2.987648,0.077698,0.460694,4.618794,6.364858,3.942371,-0.00105,0.605788,0.01753,2353,0.836992,62,0.000023,100.7663,funny
1.169081,-0.819246,-0.766412,-0.001879,897,2174,-5.251433,3.489735,2.669883,0.53087,3.095014,-20.63854,-3.114918,2.911237,25.75241,5.106826,3.399638,0.061429,1.560842,12.76969,14.68079,6.020156,-0.001398,1.078263,-0.192885,563,0.867698,1906,0.000068,127.7681,funny
0.542135,-12.32308,-10.64308,-0.000346,1560,1065,-1.270789,3.363838,3.617211,-1.598684,3.051103,-12.68413,0.408205,2.845294,16.91105,4.126711,3.458344,0.118679,0.476816,4.577149,4.403461,4.360251,0.000409,1.177761,-0.16761,1284,1.343749,1729,0.000163,119.6457,funny
0.666898,-13.62086,-12.08159,0.000799,1294,1906,-0.068273,2.889398,3.065515,0.492974,4.134501,-18.49173,-0.711622,5.340173,23.72557,5.055519,4.041415,0.102618,0.519386,5.518676,7.309828,3.795547,-0.000155,1.01242,0.16793,1891,1.213743,2758,0.000166,127.7681,funny
1.553767,-11.2797,-11.8761,-0.001476,555,1780,1.795328,3.096562,3.206382,-1.291946,2.816246,-18.18155,1.714234,3.900262,24.16167,4.966093,3.48938,0.087403,1.175146,7.429142,4.63676,3.979781,0.001829,1.736753,-0.14768,374,2.152119,240,0.000164,127.2584,funny
0.718459,-14.23106,-12.74564,-0.001435,2431,2412,-1.300188,3.830746,3.635275,-2.152832,4.086714,-21.14139,-1.662781,3.870491,18.6846,4.469046,4.459296,0.105092,1.00894,5.201529,6.272469,5.493062,-0.001798,1.216548,-0.004681,1682,1.402162,1010,0.000261,109.4789,funny
1.010049,-9.68182,-9.845826,0.00023,2409,2167,-0.723387,3.588465,3.185355,-2.75798,2.93845,-16.38304,-4.152772,2.798782,22.96773,4.998653,2.903833,0.083493,0.459925,6.510326,4.389684,3.933117,-0.004215,1.201391,-0.094983,2662,1.291054,137,0.000081,107.7246,funny
