@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_stddev numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[8]_amean numeric
@attribute pcm_zcr_sma_skewness numeric
@attribute pcm_RMSenergy_sma_de_stddev numeric
@attribute mfcc_sma_de[3]_linregerrQ numeric
@attribute mfcc_sma_de[3]_kurtosis numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[5]_linregc1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_skewness numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute pcm_zcr_sma_de_linregc2 numeric
@attribute voiceProb_sma_de_amean numeric
@attribute voiceProb_sma_de_skewness numeric
@attribute output {romantic,notromantic}

@data
0.00952,3.521994,-4.366365,-1.288687,-9.742627,6.394438,0.001217,0.35154,4.217895,2615,0.065242,-0.000001,0.106807,0.090746,-0.000728,0.954334,-0.000019,-0.000042,0.05696,romantic
0.009569,2.139917,-1.805777,0.516914,0.865372,1.941471,0.001615,0.393369,4.505696,8,-0.284759,0.000002,-0.070587,-0.423976,-0.003268,0.902816,0.000027,0.000016,-0.571116,romantic
0.01516,2.557125,-7.359289,-1.229999,-2.337861,2.925417,0.003522,0.636764,3.834368,2143,-0.127086,0.000003,0.123684,0.059738,-0.002397,1.195565,0.00001,-0.000125,-0.336642,romantic
0.006043,0.941607,-3.490579,-0.55886,0.303375,1.397213,0.001141,0.370054,5.546476,442,-0.121734,0.000007,-0.219049,-0.052972,-0.002944,0.736382,0.000021,0.00006,-0.065465,romantic
0.012977,1.749318,0.950935,-0.134218,-4.839304,1.448365,0.001091,0.522088,6.834498,582,-0.722401,-0.000005,0.231938,-0.40763,-0.001304,0.976266,0.000009,-0.000041,0.076024,romantic
0.007074,4.838588,-4.192569,-1.136019,0.253366,3.821721,0.001186,0.703686,4.509613,1208,0.282577,0.000002,0.15821,0.001697,0.000318,1.02228,0.000027,-0.000082,-0.742426,romantic
0.013496,1.043764,-3.6476,-0.248574,-0.277883,3.294751,0.001719,0.421675,5.963113,2203,0.091579,0,-0.045048,-0.267393,-0.001898,0.847413,-0.000003,-0.000039,-0.082741,romantic
0.009222,1.595821,-6.442298,-0.72475,2.489316,1.801138,0.001477,0.466484,3.671873,2946,0.072913,0,0.1554,0.105583,0.002065,1.156771,0.000069,0.000022,-0.580611,romantic
0.000974,2.941875,-0.528894,-1.134632,1.356623,1.498311,0.000253,0.348676,5.645903,772,0.528928,0.000003,0.127732,0.021143,0.001549,0.709115,-0.00002,-0.000074,-0.310309,romantic
0.002284,0.576511,-4.38419,0.502768,6.879073,1.206459,0.000363,0.849523,4.403231,818,0.306463,-0.000007,-0.220522,0.141394,0.003071,1.357405,0.000066,0.000054,-0.156341,romantic
