@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_SharpnessA numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute output {romantic,notromantic}

@data
1.335947,168.8532,0.052334,0.011921,notromantic
1.315297,108.8899,0.016859,0.006598,notromantic
1.518377,36.75581,0.028324,0.012138,notromantic
1.559772,57.35276,0.004605,0.014504,notromantic
1.559772,57.35276,0.004605,0.014504,notromantic
1.559772,57.35276,0.004605,0.014504,notromantic
1.483344,49.62952,0.036867,0.010891,notromantic
1.498739,35.26219,0.02699,0.010552,notromantic
1.478536,37.99405,0.133905,0.007731,notromantic
1.478536,37.99405,0.133905,0.007731,notromantic
1.399247,63.48364,0.057544,0.00998,notromantic
1.180466,175.8224,0.04445,0.012094,notromantic
1.405386,60.25821,0.100065,0.006433,notromantic
1.441912,201.6053,0.034245,0.007829,notromantic
1.264377,97.4366,0.16237,0.002641,notromantic
1.40473,46.71865,0.013233,0.006634,notromantic
1.40473,46.71865,0.013233,0.006634,notromantic
1.49943,62.48883,0.013296,0.010133,notromantic
1.547454,75.96813,0.006078,0.040995,notromantic
1.547454,75.96813,0.006078,0.040995,notromantic
1.18909,192.3856,0.06396,0.010072,notromantic
