@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data
66.59306,1.216978,0.820072,0.893517,163.3053,6.65828,0.000185,0.009563,0.709277,lonely
51.80926,1.146065,1.007969,0.876026,75.81034,6.151463,0.000273,0.002925,1.221237,lonely
85.68116,1.42989,0.564015,0.899194,156.6689,5.503773,0.00013,0.018524,0.298543,lonely
61.631,1.31915,0.838019,0.887478,79.63881,5.910367,0.000226,0.006212,1.215834,lonely
76.80628,1.243184,0.787765,0.894445,123.0024,6.403835,0.000104,0.010722,0.392509,lonely
46.06454,0.958143,0.767187,0.858847,77.47206,7.535493,0.000455,0.006552,1.057364,lonely
59.70812,1.26586,0.714121,0.869163,72.56228,5.612521,0.001139,0.009541,1.383981,lonely
60.57558,1.252092,0.845142,0.879925,65.77167,6.161642,0.000355,0.001682,1.970208,lonely
60.972,1.176129,1.013475,0.885662,102.8659,6.759507,0.000373,0.006497,0.824879,lonely
51.73104,1.079172,0.928426,0.87569,155.2047,7.080297,0.000415,0.012046,2.504889,lonely
73.03155,1.43174,0.583286,0.889504,40.44073,5.296201,0.000232,0.006391,0.797628,lonely
52.56149,1.160717,0.806995,0.876222,111.1545,6.112182,0.00043,0.005291,1.829609,lonely
50.23632,1.10606,0.95363,0.872065,40.8927,6.765748,0.000351,0.003458,1.606966,lonely
75.15771,1.398046,0.707372,0.887261,47.88368,5.630982,0.000347,0.004607,0.527698,lonely
71.465,1.237283,0.934751,0.890224,108.1227,6.662817,0.000316,0.004354,0.812438,lonely
76.62907,1.477954,0.651728,0.890737,42.85577,5.170051,0.000296,0.005553,1.073554,lonely
80.57826,1.236469,0.643155,0.877376,194.3668,6.838033,0.000232,0.021373,1.25334,lonely
56.39003,1.1912,0.759761,0.875392,63.08987,6.297386,0.000609,0.006407,2.247605,lonely
60.66694,1.233738,0.845311,0.883735,69.16525,6.41659,0.000281,0.004709,1.400089,lonely
63.9753,1.188457,0.989968,0.884292,140.203,6.977864,0.00034,0.006919,1.796967,lonely
104.788,1.357487,0.63068,0.894134,113.1211,6.663537,0.000137,0.014472,0.742503,lonely
53.69911,1.36995,0.515262,0.870111,52.5072,4.587333,0.00043,0.004199,1.794797,lonely
94.2346,1.415524,0.494492,0.890775,78.28185,5.88475,0.000132,0.008353,0.270061,lonely
61.77899,1.179887,0.753795,0.882189,81.10343,6.709994,0.000388,0.00375,0.996652,lonely
102.5596,1.550181,0.548157,0.893954,108.7796,5.290115,0.000065,0.024227,0.211671,lonely
51.05996,1.193734,0.622858,0.863344,89.47632,5.760337,0.000457,0.004026,1.121228,lonely
51.13323,1.057496,1.192184,0.876404,37.92435,7.714885,0.000657,0.005443,3.516731,lonely
86.83693,1.474618,0.580387,0.889732,50.27607,5.485397,0.000227,0.006234,0.348001,lonely
68.20847,1.414629,0.763393,0.902945,89.0587,5.38613,0.000151,0.007716,0.661884,lonely
53.71599,1.201632,1.183573,0.881024,96.85238,6.432825,0.000297,0.003805,1.168068,lonely
65.77197,1.151159,0.901303,0.882002,98.66719,6.905405,0.000452,0.008517,1.350687,lonely
61.02016,1.523451,0.590005,0.889099,17.30206,4.549634,0.000194,0.002539,1.02917,lonely
55.94416,1.35979,0.64595,0.885362,69.75589,4.935166,0.00032,0.008368,0.84875,lonely
54.10767,1.147802,0.84768,0.878893,101.6432,6.47041,0.000185,0.002117,1.509254,lonely
62.15828,1.170552,0.737501,0.879345,127.9889,6.548529,0.000298,0.00434,1.536365,lonely
74.09533,1.346699,0.956226,0.900375,91.101,6.027197,0.000136,0.015531,0.556123,lonely
61.57948,1.348997,0.462972,0.854422,72.13565,4.637172,0.000369,0.003741,0.42261,lonely
84.985,1.308234,0.667933,0.885793,59.61254,6.459326,0.000253,0.005468,1.242484,lonely
83.17603,1.303352,0.662179,0.881655,72.82009,6.370326,0.000297,0.007695,0.835123,lonely
63.11076,1.375616,0.689038,0.886693,44.05315,5.37918,0.000338,0.001019,0.993038,lonely
65.39187,1.39798,0.564094,0.880822,35.09113,4.910098,0.000209,0.004857,0.813494,lonely
71.21446,1.399333,0.616904,0.89885,94.49885,5.325972,0.000117,0.008503,0.537608,lonely
59.56439,1.202015,0.844187,0.885985,69.12567,6.208778,0.000337,0.008362,1.184374,lonely
88.98517,1.463134,0.687315,0.901752,68.36811,5.56377,0.000133,0.008245,0.574631,lonely
56.70247,0.982214,0.728427,0.851869,59.24251,8.028365,0.000449,0.001716,1.042009,lonely
104.0864,1.260606,0.821303,0.875912,137.6872,7.889941,0.000519,0.007617,2.674139,lonely
35.14821,1.171583,0.782015,0.853278,91.84317,4.92648,0.001294,0.026856,6.080771,lonely
67.32638,1.193852,0.731332,0.883563,181.4018,6.528587,0.000155,0.005277,0.793097,lonely
75.21993,1.312497,0.776454,0.900061,116.9336,6.304329,0.000179,0.006222,1.159797,lonely
68.83015,1.308212,0.918405,0.893537,59.02267,6.141321,0.000207,0.002338,0.496531,lonely
80.9214,1.33275,0.746698,0.901162,93.73117,6.183296,0.000098,0.00979,0.481547,lonely
57.25468,1.22209,1.020516,0.895514,103.2736,6.080615,0.000165,0.008755,0.719785,lonely
85.62259,1.408869,0.630648,0.893101,37.09585,5.58691,0.00013,0.012625,0.367746,lonely
46.72827,1.104575,1.289617,0.873301,194.8171,6.789313,0.000462,0.00792,1.755585,lonely
52.95264,1.112908,0.688484,0.865861,97.94457,6.39447,0.00049,0.005581,1.204116,lonely
81.82338,1.427287,0.619295,0.902663,67.81542,5.538359,0.000124,0.006167,0.188807,lonely
70.42438,1.18909,0.751594,0.88599,192.3856,6.700689,0.000231,0.010072,1.275623,lonely
76.26286,1.414766,0.807262,0.896997,82.48948,5.73852,0.00017,0.007611,0.734961,lonely
79.97043,1.396033,0.694545,0.901978,72.22047,5.838388,0.000086,0.004317,0.732193,lonely
