@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_kurtosis numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[9]_skewness numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregerrQ numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {lonely,notlonely}

@data

0.000004,2.500976,-0.039186,-11.10571,-13.07348,5.961236,26.32551,24.94066,6.020453,-13.85197,1.057562,1.121056,-0.003801,6.798532,-0.739779,-20.38294,1.155639,0.914522,-6.442535,6.658891,0.45735,0.428917,0.442104,0.441975,0.167853,0.048634,0.004835,0.000004,-0.00369,-0.341477,5.774301,5.317195,0.940011,0.104008,4.746624,0.000099,11.49547,lonely
0,0.792539,15.94646,1.025818,3.976016,21.59432,39.67159,44.86653,4.233809,-23.92209,-2.53914,-0.93,0.001116,-2.59646,-2.111582,-13.03996,3.094295,2.272394,1.083885,10.18482,0.186328,0.181488,0.438929,0.414347,0.230911,0.006532,0.001212,-0.000001,0.00376,-0.815688,3.852352,4.28335,1.13474,-0.023697,4.102843,0.000017,15.88695,lonely
0.000005,2.139917,9.361443,-5.297335,-1.805777,13.19983,28.00926,13.73803,3.963004,-22.71935,-6.524229,-1.213279,-0.00021,-0.899913,2.575391,-12.6399,3.849402,4.557899,4.982317,13.21077,0.347852,0.341803,0.435887,0.377554,0.481485,0.020534,0.001615,0.000003,-0.009463,-1.185044,5.076537,4.93006,0.84344,-0.255506,3.35672,0.000037,39.26564,lonely
0,2.092402,6.96152,-5.662008,-5.789108,13.48614,33.19908,24.71127,4.752333,-16.09825,1.839031,-1.865426,0.000242,-2.226373,3.361998,-19.51058,1.688835,-2.510799,-1.944325,12.57501,0.290986,0.287356,0.394893,0.40048,1.191696,0.024581,0.004015,-0.000002,0.003166,-1.212682,4.037219,3.791507,0.910781,0.083811,3.827856,0.000116,9.806704,lonely
0.000002,4.269737,-0.667262,-10.01773,-9.318855,17.71642,30.88098,31.46501,5.902962,-24.31906,-5.021031,-5.380271,-0.000066,-5.282168,-6.68241,-16.20014,0.197998,-2.681332,-3.397087,12.80117,0.604356,0.591047,0.374281,0.36533,0.727624,0.040233,0.004084,-0.000002,0.002839,-0.850408,4.050187,3.524063,1.309893,-0.166461,3.519562,0.00022,17.01649,lonely
0.000001,2.004986,18.32572,5.657968,12.22713,16.40779,30.11794,23.52548,4.21359,-18.77242,-6.778602,0.438607,0.000226,0.101739,3.48845,-14.15158,1.56282,-6.837753,-5.305889,10.52832,0.183908,0.174229,0.482704,0.51801,0.393258,0.005983,0.000736,0.000009,-0.016123,-1.494639,3.89551,3.399579,0.873316,-0.094347,3.356471,0.000009,12.59701,lonely
0.000004,1.692654,3.057954,-7.528809,-5.906354,16.4277,32.28947,20.50582,4.783572,-21.20599,-3.123193,0.049187,-0.000205,0.355432,-3.657772,-15.03966,-2.888289,-2.08115,-1.573251,9.373345,0.379915,0.360557,0.296172,0.291063,0.919588,0.019493,0.003311,0.000006,-0.008875,-1.57163,4.348354,4.586995,1.180116,0.394242,3.458721,0.000108,9.415666,lonely
-0.000007,1.361432,1.215887,-10.36237,-11.93225,4.522505,21.28504,10.51793,2.949472,-14.74425,-2.616682,-2.042612,-0.000191,-1.757385,1.960004,-19.14016,-1.920931,-4.902393,-5.089947,10.97401,0.38294,0.346643,0.293396,0.25239,1.368336,0.023883,0.003688,0,0.00412,-1.325396,3.707861,3.579894,0.968251,0.042817,3.236826,0.000074,11.98154,lonely
0,2.546686,2.696818,-4.945662,-4.287832,14.49303,24.18752,15.83753,4.278574,-15.00991,-2.46874,-0.132751,0.000513,-0.89898,-0.598626,-13.57823,2.376133,0.431555,0.945496,14.66872,0.395039,0.389595,0.340393,0.324797,1.368466,0.013095,0.001649,0.000003,-0.004893,-1.060936,5.000819,4.606743,0.804974,0.006379,3.191357,0.000041,25.18672,lonely
-0.000002,2.792922,2.303952,-6.74911,-7.283559,23.7788,39.41676,28.32525,4.510205,-15.75056,-1.139865,-7.482575,0.000219,-7.810017,-3.488294,-20.48522,-3.10204,-0.938415,1.94157,22.59157,0.510587,0.494858,0.527766,0.578017,0.231995,0.024908,0.003436,0.000001,-0.001965,-1.047816,4.671072,3.943004,0.974556,0.079114,4.026292,0.000157,18.81501,lonely
