@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
104.664,6.904727,1.59069,1.369306,0.89508,34.3059,367.5515,0.021718,0.298819,0.01201,0.397317,1217.447,energetic
92.3549,6.440014,1.578483,1.351764,0.898777,36.78674,129.3699,0.0075,0.147917,0.011542,0.147538,913.0863,energetic
88.6307,5.590892,1.431977,1.270807,0.905634,63.80693,35.73991,0.006815,0.061131,0.014412,0.178604,639.4655,energetic
103.9734,7.025901,1.616452,1.409144,0.895686,44.79848,277.2721,0.009365,0.302074,0.012332,0.206532,1160.314,energetic
66.57521,4.919172,1.454687,0.738532,0.890312,17.65021,438.4034,0.038779,0.376417,0.007888,1.061128,904.6232,energetic
83.93829,5.059614,1.349201,1.302425,0.900632,25.41329,544.266,0.016024,0.252903,0.006885,0.3779,506.3705,energetic
85.44536,5.183441,1.373253,1.216916,0.904453,80.28909,34.66803,0.00476,0.061243,0.015686,0.138704,545.7304,energetic
93.15021,6.281317,1.560448,1.114735,0.88961,47.36436,370.3348,0.025488,0.340778,0.024025,0.598149,1304.476,energetic
84.9477,5.339426,1.408802,1.307663,0.900102,43.97793,82.92532,0.012211,0.092525,0.008231,0.376987,584.8829,energetic
73.12386,5.28799,1.466299,0.897014,0.888137,42.56254,321.7259,0.028451,0.310042,0.013179,0.685774,661.1022,energetic
97.76276,6.300829,1.532404,1.252042,0.900766,41.66052,117.8385,0.012983,0.288511,0.018794,0.306345,1135.951,energetic
85.41917,5.37641,1.432438,1.10473,0.889921,60.49168,153.9208,0.033813,0.306785,0.008423,0.961628,881.5841,energetic
97.92368,6.025385,1.481133,1.151678,0.898153,126.8458,225.2238,0.013317,0.163428,0.022358,0.394301,940.2964,energetic
92.14212,5.907549,1.482256,1.267075,0.905093,93.2467,56.78234,0.007417,0.082499,0.028846,0.163992,892.6068,energetic
50.25879,4.167977,1.37898,0.604305,0.889431,26.3648,261.3367,0.071423,0.362664,0.021315,2.598979,417.3666,energetic
75.23516,5.338876,1.483347,0.784954,0.901438,23.01471,87.67126,0.011237,0.063231,0.011242,0.292519,892.0854,energetic
88.55748,6.147117,1.550704,1.113596,0.897149,49.35852,86.17468,0.008863,0.087659,0.011364,0.19634,993.5884,energetic
80.40031,4.985674,1.355985,1.104587,0.88919,63.72258,381.3971,0.037092,0.404025,0.006914,0.984743,536.8505,energetic
84.2311,5.522818,1.449778,1.19373,0.902646,33.40222,103.0039,0.013503,0.202972,0.012086,0.373466,646.9201,energetic
88.32474,6.059987,1.528478,1.091788,0.890818,41.52733,621.1783,0.032971,0.376027,0.013242,0.793869,971.8749,energetic
80.1544,5.756409,1.547735,0.89737,0.895486,28.48885,421.602,0.017186,0.365832,0.020097,0.863684,858.6912,energetic
53.5742,3.861532,1.30831,0.336482,0.878018,173.7205,292.2392,0.02541,0.074092,0.008031,1.401191,641.0833,energetic
98.9548,6.319881,1.522352,1.499482,0.900582,92.31516,64.95547,0.006242,0.354757,0.013325,0.291916,934.1501,energetic
95.8277,6.194202,1.504573,1.412861,0.90501,97.29797,166.6543,0.012965,0.294739,0.018361,0.25608,723.2601,energetic
92.59059,5.551908,1.404934,1.449821,0.900398,66.19645,221.6826,0.014261,0.320254,0.007333,0.457728,507.904,energetic
83.06101,5.493717,1.442245,1.193087,0.904674,41.2703,142.196,0.011042,0.184208,0.012407,0.216285,478.3214,energetic
89.05725,6.080438,1.532841,1.245418,0.910296,71.2267,119.0734,0.011315,0.357026,0.026338,0.336657,654.9283,energetic
72.5086,5.030475,1.405511,1.053959,0.904768,81.48982,136.1907,0.018966,0.291658,0.009475,0.315871,409.1846,energetic
88.74652,5.703249,1.456486,1.194371,0.901287,94.09288,102.5775,0.013126,0.240338,0.015779,0.341144,531.6707,energetic
97.51643,6.188482,1.503324,1.354651,0.898049,62.89736,144.1748,0.010787,0.12071,0.015435,0.163756,957.6784,energetic
93.07222,6.357554,1.561727,1.227533,0.90153,67.91,78.41919,0.00681,0.106482,0.01804,0.212925,899.8576,energetic
83.97793,5.493925,1.455674,0.9597,0.895407,40.82621,267.8645,0.013768,0.125976,0.014239,0.328188,863.007,energetic
92.99385,6.125276,1.515471,1.268955,0.899046,35.86671,158.6371,0.011946,0.112371,0.014162,0.169174,894.6586,energetic
75.33052,5.128821,1.426904,0.838527,0.89674,36.47626,449.7857,0.032743,0.278805,0.006837,0.630745,622.8429,energetic
