@attribute mfcc_sma_de[5]_linregerrQ numeric
@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_minPos numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[10]_skewness numeric
@attribute mfcc_sma_de[10]_kurtosis numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute mfcc_sma_de[12]_linregc1 numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute output {energetic,notenergetic}

@data

0.044754,0.000006,0.036091,0.487427,3.23188,-1.218208,-8.991894,-7.295101,-5.223856,-10.16798,3.383758,2.034725,-16.62036,-1.920594,4.377634,-16.34181,14.2166,-1.052293,9.751918,13.41201,0.014519,0.086104,0.144877,0.393179,0.877207,4.431636,10.40187,-0.847733,0.001131,5.095202,0.937391,0.920417,799,-0.002715,0.055577,3.181153,0.00051,0.000004,11.23729,energetic
0.064046,-0.000001,0.066036,-0.059617,3.753933,-6.334927,-14.01312,-14.08238,-2.655344,-14.50518,3.97716,2.986628,-16.50601,-0.257919,0.57586,-15.53661,22.90553,-1.214765,14.71322,16.73627,0.016334,0.132382,0.136354,0.288137,1.442935,30.13497,5.580342,0.470514,-0.000701,4.567059,1.192185,1.419751,138,-0.009955,-0.125996,3.229136,-0.002159,0.000002,6.354033,energetic
0.028751,-0.000001,0.030032,0.946486,5.006708,-5.958228,-14.34023,-12.1182,-5.315522,-11.91315,2.604686,0.673242,-14.38215,1.770152,1.584317,-20.20953,24.15721,-4.762279,8.955238,20.3616,0.039927,0.13818,0.151043,0.360735,0.796205,10.93001,8.8855,0.736764,-0.001115,4.454639,1.158806,1.228105,1233,0.004494,-0.129652,3.354027,0.000685,-0.000002,5.171401,energetic
0.027507,0.000006,0.018053,0.036352,2.578184,-1.421462,-12.64466,-12.26921,1.724891,-5.080159,3.564644,0.942445,-10.20094,4.001605,1.941424,-15.19769,12.40845,0.39089,9.645093,12.27215,0.00726,0.074877,0.139412,0.242926,1.53238,950.1772,13.13382,-0.702497,-0.003196,4.173544,0.619364,0.771138,336,0.004727,0.101979,3.21561,0.000418,-0.000001,7.474919,energetic
0.022874,0.000004,0.017204,2.356199,14.19317,0.076568,-9.461708,-8.723759,-6.580047,-15.09781,2.884175,-1.742751,-16.92876,-2.278659,-4.52401,-19.50428,21.00426,-4.196925,9.191376,12.97197,0.040532,0.116047,0.142002,0.353949,0.5073,18.96715,25.5899,-0.714566,0.000722,3.831707,0.691543,0.784325,2911,-0.009815,0.095341,3.275704,0.001526,0.000005,18.24383,energetic
0.02462,-0.000002,0.027627,2.067532,15.69705,-1.533209,-10.46934,-11.7636,-5.201816,-13.54535,3.369082,1.543963,-14.77554,0.403687,0.204526,-21.35749,20.9153,-0.663775,11.89164,15.17801,0.021779,0.115943,0.135724,0.397446,0.514551,6.059114,28.34755,-0.84912,-0.00062,4.567184,0.926847,1.076107,792,0.00574,0.042229,3.763951,0.00038,0,15.67969,energetic
0.024979,-0.000019,0.053119,0.392215,2.019499,12.97631,-3.263749,-17.58775,-8.984622,-28.13018,2.164199,-3.259539,-15.52121,-2.130939,1.899098,-20.46661,28.93669,0.176304,21.23337,18.77437,0.033878,0.087672,0.141663,0.420614,0.233482,2.061056,9.981418,-0.012322,-0.001528,4.127089,0.61584,0.854324,439,0.001297,-0.014387,4.140246,0.004098,0.000004,6.080558,energetic
0.027625,0.000005,0.020658,1.089707,5.051068,1.074271,-7.861344,-7.263562,-1.766125,-12.22763,2.795071,1.85922,-12.94401,3.001136,0.030121,-15.72984,22.35184,1.267393,15.7174,17.15499,0.00726,0.066027,0.150037,0.392009,0.914796,3.967962,7.797707,-0.45527,0.002192,4.52299,1.070794,1.125976,1637,0.00556,0.021889,3.132256,-0.001331,0.000001,8.166444,energetic
0.061367,0.000006,0.052497,-0.478947,2.881724,-5.281772,-10.12597,-9.048906,-6.708828,-12.98394,4.226746,-1.844353,-12.77135,0.228809,0.939229,-10.89547,10.81845,-1.596727,10.12258,8.657636,0.032668,0.104411,0.15997,0.313198,0.930266,56.35861,3.711379,-0.14245,-0.00384,3.285401,0.549366,0.644027,2842,-0.001523,-0.029212,3.091853,0.002151,-0.000002,3.375634,energetic
0.045038,0.000012,0.027322,0.960637,4.235279,-3.615787,-13.45713,-12.53322,-0.195941,-11.0665,3.660164,-0.384589,-14.16416,0.007307,2.495901,-14.56875,25.38953,0.101672,15.97623,18.26191,0.013309,0.129924,0.140882,0.288809,1.359843,31.17996,10.27695,-0.653403,-0.003151,3.519431,1.202118,1.162842,417,-0.001709,-0.000341,3.346316,0.000209,0.000001,6.577822,energetic
0.03596,0.000001,0.035143,-0.334193,3.016656,-3.736022,-12.52509,-11.08618,-1.903869,-11.69083,2.954145,-5.428125,-13.0611,-2.170549,-4.120438,-13.50879,12.14611,-2.668006,8.318525,11.17777,0.035693,0.119496,0.131742,0.206285,1.729873,0,4.799243,-1.050537,0.001888,3.497629,0.602214,0.784367,2292,-0.004574,0.319193,3.628314,0.003128,0.000003,5.288152,energetic
0.04611,0.000001,0.04396,0.102086,2.903023,-5.676461,-13.35471,-12.64497,-1.016955,-12.55398,4.306807,1.273556,-10.79361,4.678489,4.601894,-10.33192,14.6237,-1.104511,8.451198,10.45051,0.018754,0.107752,0.136332,0.239757,2.279933,191.7829,6.484319,0.179356,-0.001466,3.998081,0.564343,0.769543,2321,0.004921,-0.024485,3.261913,-0.000127,-0.000001,5.023622,energetic
