@attribute mfcc_sma_de[6]_linregerrQ numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_amean numeric
@attribute pcm_zcr_sma_de_stddev numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute F0_sma_de_max numeric
@attribute F0_sma_de_amean numeric
@attribute F0_sma_de_linregc1 numeric
@attribute output {energetic,notenergetic}

@data

0.014237,0.050961,0.000001,0.049956,1.094146,7.172031,-13.10797,-12.84598,2.076145,-3.33264,-11.16788,3.333338,1.577526,2.230131,-16.16429,0.092146,-0.040507,19.65732,-10.07728,9.592422,4.102631,0.133511,0.136476,0.330437,1.136257,3.845983,0.000023,0.745108,14.25034,1.07527,1.145753,-0.002859,-0.001137,0.011312,9.015042,123.2962,0,-0.000033,energetic
0.023105,0.044735,0.000001,0.043706,0.365036,2.391052,-10.16512,-10.49592,1.779377,0.072608,-9.795119,3.321492,0.289339,0.757965,-11.59598,0.986631,-0.18501,14.87425,-12.41982,11.81625,3.81926,0.091194,0.147663,0.288356,1.664472,6.318615,0.000002,0.864814,6.338183,0.646097,0.822241,0.00154,-0.000508,0.006864,4.019008,98.58571,0,-0.000011,energetic
0.000635,0.034596,-0.000018,0.061562,1.073878,4.433815,-10.28834,-14.59665,4.435792,-1.256929,-19.46576,3.740234,3.456712,2.640388,-17.45699,1.424007,-0.801493,12.97416,-15.26841,31.04353,5.062857,0.075128,0.125812,0.370898,0.816809,2.690237,-0.000053,2.879198,24.55271,0.830014,0.985281,0.004861,0.001872,0.010186,10.69559,125.255,0.084527,0.000086,energetic
0.000079,0.025871,0.000003,0.021762,2.138669,7.535109,-10.84791,-11.42257,5.024048,-0.994278,-16.48873,5.065818,3.458158,4.365032,-18.03176,2.221482,2.565555,32.99525,-19.93985,28.22189,5.685722,0.076843,0.133121,0.33965,1.065548,3.470564,-0.000031,1.288884,8.11604,1.72319,1.749645,0.006401,0.000181,0.016151,14.17356,119.7892,0,-0.000056,energetic
0.000978,0.046935,-0.000011,0.063097,0.341172,2.995089,-11.76736,-11.95565,2.832227,-0.119828,-25.46678,5.435672,-0.296857,1.340595,-21.19937,0.790297,0.70754,19.5153,-21.01855,16.42217,4.009629,0.102965,0.147036,0.34844,1.208634,3.626346,0.000024,0.860206,5.628515,1.140414,1.220291,0.002869,-0.00119,0.010872,15.75109,96.38779,0,-0.000055,energetic
0.011837,0.032889,0.000002,0.029698,0.865155,3.119181,-11.47792,-11.48815,2.387009,-1.699363,-11.49615,3.427422,1.891427,1.861795,-11.90555,-0.472837,-0.23162,7.183709,-9.749005,6.238655,2.462418,0.123106,0.129432,0.215839,0.766235,4.150252,-0.000066,2.070978,8.638061,0.840398,0.808914,0.00512,0.000164,0.010065,4.282543,0,0,0,energetic
0.027115,0.061367,0.000006,0.052497,-0.478947,2.881724,-10.12597,-9.048906,1.500974,-6.708828,-12.98394,4.226746,-1.844353,-0.622735,-12.77135,0.228809,0.939229,11.07312,-10.89547,10.12258,3.193285,0.104411,0.15997,0.313198,0.930266,3.836464,0.000036,0.418445,3.711379,0.644027,0.759118,-0.001523,0.002151,0.00583,3.375634,115.6851,0,-0.000009,energetic
0.002258,0.027507,0.000006,0.018053,0.036352,2.578184,-12.64466,-12.26921,2.666179,1.724891,-5.080159,3.564644,0.942445,1.589354,-10.20094,4.001605,1.941424,18.79478,-15.19769,9.645093,3.620359,0.074877,0.139412,0.242926,1.53238,7.260229,0.000028,1.46597,13.13382,0.771138,0.783214,0.004727,0.000418,0.008991,7.474919,115.3434,0,-0.000001,energetic
0.023014,0.068511,0.000002,0.065236,0.765081,3.207464,-11.94267,-11.34972,3.026656,-2.948554,-11.78567,2.937413,-0.242708,-0.873752,-10.91678,-0.389258,-2.121805,16.09624,-17.46904,8.634776,3.459683,0.109592,0.134546,0.246316,1.666083,6.649606,0,1.0054,4.838207,1.011511,0.90374,-0.005077,0.001695,0.011841,4.56409,81.28428,0,-0.000002,energetic
0.002292,0.020786,0.000001,0.019836,0.417209,2.462885,-9.84414,-9.575435,3.034015,-5.22038,-8.230656,2.775529,-1.117085,-0.298825,-9.443141,4.677275,-1.880123,15.18388,-19.38634,15.55634,4.131428,0.1117,0.155101,0.431487,0.758847,2.24216,0.000016,0.803582,4.49537,1.023955,1.309121,-0.003261,-0.002276,0.009024,3.805219,125.6409,0,-0.00015,energetic
