@attribute Std_Acc1000_Mean_Mem40_SFM_4 numeric
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0 numeric
@attribute Std_Acc1000_Std_Mem40_SCF_3 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_2 numeric
@attribute Std_Acc1000_Std_Mem40_SFM_3 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13 numeric
@attribute BeatHisto_LowPeakAmp numeric
@attribute BeatHisto_LowMidBPMRatio numeric
@attribute BeatHisto_MeanACR numeric
@attribute output {sleepy,notsleepy}

@data

0.059101,0.040289,-50.733182,5.633421,2.10864,0.653606,0.645262,0.00018,0.511944,0.215291,0.127487,0.444189,0.45499,0.399595,0.462639,0.024207,0.019675,0.191,0.372933,0.325381,0.465721,0.12069,3.800916,0.128514,0.045858,0.030258,0.148818,27.120771,0.62531,0.561024,sleepy
0.097072,0.056238,-45.951026,4.004433,0.773629,-0.203721,0.243027,0.000508,0.631185,0.413699,0.166088,0.419348,0.395465,0.367612,0.420108,0.02706,0.017741,0.176698,0.309711,0.35627,0.625606,0.11514,3.544321,0.100467,0.036461,0.035657,0.158694,31.321073,0.750623,0.560804,sleepy
0.074416,0.047227,-51.871782,4.139859,1.41741,0.733652,-0.042546,0.000181,0.673762,0.444183,0.111926,0.50174,0.431667,0.364099,0.353971,0.026176,0.026004,0.191824,0.250836,0.244818,0.459628,0.119701,3.965409,0.118151,0.043125,0.03877,0.158142,25.54207,0.742063,0.580531,sleepy
0.084623,0.054456,-50.591346,4.100859,1.454692,-0.08142,0.468616,0.000086,0.675505,0.403433,0.148104,0.506243,0.415984,0.392188,0.4097,0.025638,0.039951,0.208048,0.24686,0.364363,0.516761,0.138983,3.776013,0.107959,0.042608,0.047174,0.152267,22.382145,0.769231,0.563386,sleepy
0.04915,0.038494,-51.562186,7.439342,2.482951,1.019547,0.425962,0.000145,0.620374,0.239071,0.12838,0.471091,0.434302,0.488037,0.409857,0.028293,0.02098,0.172613,0.27317,0.279992,0.470674,0.111795,3.827946,0.129001,0.038185,0.053259,0.15126,25.517047,0.75463,0.570899,sleepy
0.023358,0.018215,-66.178236,6.238258,1.960924,0.983829,0.683519,0.000029,0.641821,0.444603,0.064083,0.533171,0.447855,0.451804,0.409796,0.023871,0.015128,0.228962,0.342813,0.276764,0.737935,0.159271,5.098021,0.14206,0.050638,0.057422,0.157221,12.115936,0.689498,0.585989,sleepy
0.059101,0.040289,-50.733182,5.633421,2.10864,0.653606,0.645262,0.00018,0.511944,0.215291,0.127487,0.444189,0.45499,0.399595,0.462639,0.024207,0.019675,0.191,0.372933,0.325381,0.465721,0.12069,3.800916,0.128514,0.045858,0.030258,0.148818,27.120771,0.62531,0.561024,sleepy
0.04571,0.032461,-51.677052,6.900947,1.149804,1.190387,0.382541,0.000222,0.519823,0.313047,0.122655,0.60318,0.470149,0.42863,0.414009,0.024259,0.014152,0.224936,0.310995,0.307867,0.569724,0.147305,3.793677,0.14282,0.046956,0.047926,0.151644,11.418913,0.967078,0.565992,sleepy
0.026759,0.015304,-53.805743,6.197086,1.440118,1.012563,0.444931,0.000483,0.608689,0.412483,0.091873,0.48011,0.457357,0.43509,0.428388,0.026837,0.005248,0.224556,0.315427,0.316937,0.42618,0.12155,3.932336,0.117909,0.046953,0.0453,0.156718,73.183134,0.748792,0.507255,sleepy
0.035785,0.022851,-52.234174,6.019203,1.258216,0.067377,0.128595,0.000836,0.597125,0.427992,0.10729,0.556676,0.516498,0.390508,0.389015,0.040257,0.012657,0.197935,0.258368,0.240607,0.430911,0.103068,3.782838,0.106351,0.042527,0.047765,0.153431,27.205084,0.993528,0.512177,sleepy
0.047958,0.041178,-54.135201,10.625911,0.23674,0.735018,-0.150538,0.000111,0.703147,0.379401,0.14214,0.414677,0.36262,0.406346,0.40194,0.016225,0.015425,0.176918,0.238021,0.231474,0.46564,0.123736,4.348461,0.108619,0.038811,0.04318,0.161765,10.940753,0.65678,0.575244,sleepy
0.040736,0.035111,-60.306363,9.271774,1.707881,0.328054,0.135407,0.000006,0.684958,0.33219,0.126838,0.410524,0.420413,0.43202,0.385326,0.015472,0.006969,0.235859,0.288982,0.245659,0.449496,0.099045,4.880069,0.123221,0.044054,0.040567,0.154382,4.786962,0.760181,0.561166,sleepy
0.059779,0.041035,-49.278483,5.258193,1.445247,0.426782,-0.012485,0.000444,0.597935,0.442744,0.138331,0.515115,0.496014,0.362986,0.392828,0.027335,0.014097,0.219347,0.387068,0.343412,0.591564,0.099349,4.068822,0.16231,0.066692,0.047206,0.157473,69.27555,0.748603,0.544277,sleepy
0.045602,0.032889,-55.504891,6.064285,1.775856,0.245663,-0.365305,0.000088,0.641881,0.482272,0.128296,0.574509,0.386584,0.38321,0.381458,0.029339,0.025863,0.183075,0.320083,0.295564,0.767326,0.162306,4.34606,0.123072,0.038327,0.041851,0.156721,9.835223,0.858881,0.538989,sleepy
0.064962,0.046278,-49.123537,5.839781,1.114238,0.217759,0.387627,0.00027,0.682199,0.309764,0.133862,0.568036,0.461762,0.416662,0.437674,0.024241,0.029026,0.200971,0.228976,0.29146,0.393881,0.111575,4.073261,0.132005,0.043338,0.037445,0.152643,17.259155,0.862004,0.578625,sleepy
0.026418,0.021239,-63.105311,8.034108,1.84339,0.69774,0.622753,0.000048,0.578932,0.514342,0.080475,0.538299,0.506951,0.431821,0.449126,0.024019,0.020712,0.204338,0.36299,0.309418,0.636366,0.099761,4.301984,0.111097,0.045816,0.04274,0.159347,9.235237,0.665625,0.554142,sleepy
0.059399,0.038968,-52.125814,5.504868,1.480209,0.760866,0.103272,0.000093,0.535983,0.312992,0.12716,0.569892,0.567021,0.468842,0.455013,0.026695,0.013035,0.188856,0.297096,0.242344,0.3894,0.109057,4.00362,0.143222,0.034443,0.030707,0.150257,14.057686,0.665698,0.583511,sleepy
0.03337,0.024864,-54.434955,8.720485,1.405582,1.285797,-0.095176,0.000571,0.691421,0.534281,0.105681,0.487335,0.409486,0.333305,0.347332,0.016009,0.007312,0.21157,0.268239,0.331288,0.464914,0.153886,4.425695,0.144808,0.043092,0.03329,0.154523,33.258383,0.507042,0.557843,sleepy
0.044385,0.025807,-51.347919,5.578469,1.403387,0.37526,-0.068342,0.000206,0.688783,0.40394,0.125316,0.442951,0.404223,0.451514,0.394775,0.025137,0.01496,0.20874,0.302144,0.26741,0.447072,0.115021,3.765486,0.134534,0.04622,0.039854,0.158947,26.76785,0.5,0.566802,sleepy
0.104371,0.082921,-54.87137,4.577711,1.875727,0.482864,-0.16143,0.000029,0.663027,0.31272,0.165783,0.624953,0.484726,0.37825,0.398424,0.029723,0.046572,0.184315,0.275916,0.308849,0.535703,0.112669,5.845101,0.105969,0.045044,0.040208,0.160073,8.627456,0.5,0.601948,sleepy
0.063604,0.04168,-51.235557,5.862052,0.95408,0.287661,0.245414,0.000247,0.486711,0.415827,0.143532,0.488286,0.431614,0.413391,0.39601,0.035595,0.023783,0.236689,0.417749,0.44638,0.501232,0.140002,3.997,0.184866,0.043219,0.043566,0.159356,30.276436,0.666667,0.555529,sleepy
0.071218,0.060564,-59.463936,9.94199,0.982775,0.472193,0.738036,0.000011,0.624029,0.290985,0.152559,0.658476,0.545544,0.392218,0.407607,0.021153,0.024928,0.232837,0.325049,0.384731,0.943776,0.146953,4.578647,0.132838,0.053939,0.06671,0.154686,4.484957,0.634043,0.566151,sleepy
0.052407,0.038514,-54.39701,6.553889,2.378078,1.098923,-0.037999,0.000043,0.482087,0.314948,0.136708,0.470065,0.3826,0.36114,0.406265,0.022535,0.018861,0.234932,0.440005,0.351131,0.551271,0.142362,4.302904,0.137775,0.069101,0.048658,0.153413,12.066279,0.459963,0.60304,sleepy
0.055759,0.044275,-54.151434,7.414474,2.055352,0.736856,0.444388,0.000037,0.582566,0.336032,0.128544,0.545464,0.471034,0.379578,0.454658,0.024101,0.017869,0.190391,0.312854,0.360953,0.581567,0.115297,4.211265,0.130486,0.04737,0.047322,0.15008,8.020269,0.638075,0.570895,sleepy
