@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute mean_Volume numeric
@attribute std_Volume numeric
@attribute std_Multiplicity numeric
@attribute mean_SpectralCentroid numeric
@attribute std_SpectralCentroid numeric
@attribute output {sleepy,notsleepy}

@data
5.549336,1.350592,0.57045,1.085896,85.31716,6.859,0.000192,5101.987,0.841501,0.002363,623.2714,111510.6,notsleepy
5.549336,1.350592,0.57045,1.085896,85.31716,6.859,0.000192,5101.987,0.841501,0.002363,623.2714,111510.6,notsleepy
4.337265,1.256977,0.585946,0.66435,86.04478,6.245695,0.000087,2997.702,0.505383,0.002409,381.3835,15262.63,notsleepy
5.567702,1.474498,0.516186,0.734295,64.39119,5.222242,0.00014,4106.535,0.521136,0.004337,653.6522,245788.2,notsleepy
5.567702,1.474498,0.516186,0.734295,64.39119,5.222242,0.00014,4106.535,0.521136,0.004337,653.6522,245788.2,notsleepy
3.94171,1.201058,0.736626,0.844904,169.8052,7.051896,0.000323,19026.43,3.268813,0.002663,570.0248,461436.4,notsleepy
5.278077,1.508952,0.678162,0.838591,15.7461,4.767996,0.000248,408.985,1.141272,0.006048,873.9773,753425.1,notsleepy
3.153627,1.112908,0.688484,0.350588,97.94457,6.39447,0.00049,5296.886,1.204116,0.001713,416.405,130937.3,notsleepy
3.153627,1.112908,0.688484,0.350588,97.94457,6.39447,0.00049,5296.886,1.204116,0.001713,416.405,130937.3,notsleepy
6.000194,1.648118,0.577198,0.810076,20.35709,4.165921,0.000177,736.5915,0.435117,0.003511,945.2235,720220.6,notsleepy
6.000194,1.648118,0.577198,0.810076,20.35709,4.165921,0.000177,736.5915,0.435117,0.003511,945.2235,720220.6,notsleepy
5.282582,1.382722,0.534687,1.075511,195.4057,6.216584,0.000468,28733.96,0.491953,0.005761,493.8016,75228.28,notsleepy
5.282582,1.382722,0.534687,1.075511,195.4057,6.216584,0.000468,28733.96,0.491953,0.005761,493.8016,75228.28,notsleepy
4.790814,1.337374,0.705631,1.059398,51.77673,5.831395,0.0001,2456.041,0.405758,0.006352,451.6446,50253.42,notsleepy
3.990377,1.201325,0.789558,0.798704,171.5949,6.695805,0.000238,25481.35,0.716815,0.003995,361.6678,11625.2,notsleepy
6.968339,1.657787,0.538293,0.981884,34.08581,4.633863,0.000101,1611.396,0.361918,0.00417,1576.365,383624.9,notsleepy
6.968339,1.657787,0.538293,0.981884,34.08581,4.633863,0.000101,1611.396,0.361918,0.00417,1576.365,383624.9,notsleepy
5.658641,1.626831,0.630761,0.674072,17.39616,4.136972,0.000674,981.7941,1.540793,0.004352,688.8901,766493.4,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
4.77536,1.365756,0.83397,0.994561,29.51966,5.54783,0.000228,1094.5,0.53046,0.00276,429.4395,125957.5,notsleepy
