@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_skewness numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_linregc2 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[8]_linregc2 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_range numeric
@attribute pcm_zcr_sma_amean numeric
@attribute pcm_zcr_sma_linregc2 numeric
@attribute pcm_zcr_sma_stddev numeric
@attribute voiceProb_sma_amean numeric
@attribute voiceProb_sma_linregc2 numeric
@attribute voiceProb_sma_skewness numeric
@attribute voiceProb_sma_kurtosis numeric
@attribute F0_sma_minPos numeric
@attribute pcm_RMSenergy_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_skewness numeric
@attribute mfcc_sma_de[4]_minPos numeric
@attribute mfcc_sma_de[4]_linregerrQ numeric
@attribute mfcc_sma_de[5]_kurtosis numeric
@attribute mfcc_sma_de[8]_amean numeric
@attribute mfcc_sma_de[11]_linregc1 numeric
@attribute mfcc_sma_de[11]_kurtosis numeric
@attribute output {calm,notcalm}

@data
0.19994,0.054064,-10.25418,-0.284402,15.82211,-0.478545,0.579532,-6.217467,0.887445,0.013309,0.441621,0.119527,0.110321,0.065701,0.350113,0.366043,0.794337,3.121371,0,13.68571,-0.714446,1254,0.680628,3.377702,-0.003998,-0.000004,3.43732,calm
0.028972,0.008609,-1.842031,-0.791461,8.75162,-1.955981,-1.999792,1.2712,4.148887,0.009074,0.203267,0.04414,0.040314,0.020202,0.400027,0.40178,0.681088,3.668348,0,10.20781,-1.177871,618,0.750701,3.887121,0.000125,-0.000007,4.460996,calm
0.094822,0.024416,-3.05381,-0.087551,23.30288,-0.224007,0.708464,-5.444052,-0.231304,0.00605,0.397459,0.052876,0.052003,0.035659,0.577797,0.557524,-0.06024,1.859366,18,9.190395,-0.711049,134,1.111343,4.776566,0.005418,-0.000005,3.830076,calm
0.064482,0.008013,-1.081338,-0.912486,17.8826,1.112604,-8.165167,-7.061253,-4.816131,0.010889,0.527526,0.040321,0.025996,0.052644,0.580778,0.608353,-0.214866,2.051924,0,29.60422,-0.363429,2870,0.900404,4.90323,0.000655,-0.000001,4.182413,calm
0.054315,0.01027,-4.539816,-0.15582,16.31936,-0.552079,-13.85766,-15.28905,-4.187095,0.012099,0.297036,0.053019,0.051462,0.035964,0.49364,0.479219,0.13659,2.349127,0,19.754,-1.286443,2680,0.539697,3.92294,0.004945,-0.000002,3.372582,calm
0.073788,0.00787,-2.531489,-0.787591,22.1738,-0.220838,-3.847059,0.217249,-3.349872,0.009679,0.437387,0.048075,0.04208,0.045932,0.441825,0.443754,0.783006,2.857304,7,48.13095,-0.718146,2501,0.765398,4.111107,0.010747,0.000005,3.980755,calm
0.076089,0.009884,-1.836541,-0.337917,16.97399,0.690551,-5.095375,-6.176025,-4.703464,0.013914,0.31095,0.04402,0.040569,0.036839,0.460697,0.485864,0.487108,2.218813,0,30.32933,-0.523959,223,0.587614,4.880661,-0.001339,-0.000003,4.90669,calm
0.076479,0.014179,1.206689,-0.756438,15.36732,-6.11964,-10.17465,-2.384527,-7.206765,0.015124,0.215366,0.061148,0.064427,0.029996,0.511947,0.521018,0.356128,1.786221,19,20.92955,0.082917,1368,0.785608,4.044024,0.000901,-0.000002,4.42075,calm
0.106408,0.038502,-10.77507,0.1926,7.766276,-0.763333,-2.80527,-1.175659,-1.960864,0.021779,0.345433,0.113899,0.119902,0.039078,0.346197,0.342642,0.882062,3.849149,4,7.092688,-0.928784,724,0.508473,3.548162,-0.002976,-0.000006,3.194326,calm
0.111953,0.022786,-8.287633,-0.555791,13.67642,1.831944,-6.237397,-0.552172,-1.221925,0.00726,0.531156,0.065713,0.065295,0.052427,0.358748,0.355679,0.819729,3.05779,12,10.75391,-2.114546,2388,0.469438,5.457481,0.001426,0.000002,4.280019,calm
0.097894,0.018344,-2.503178,-0.015123,27.44929,2.884531,-3.684301,-3.385676,2.621961,0.012099,0.281307,0.045268,0.05216,0.02849,0.507368,0.568341,0.397537,2.459764,35,28.49416,-0.872442,1763,0.856092,4.414647,-0.007412,-0.000008,3.678041,calm
