@attribute mfcc_sma_de[10]_max numeric
@attribute mfcc_sma_de[10]_range numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute pcm_zcr_sma_de_min numeric
@attribute pcm_zcr_sma_de_amean numeric
@attribute pcm_zcr_sma_de_kurtosis numeric
@attribute voiceProb_sma_de_max numeric
@attribute voiceProb_sma_de_range numeric
@attribute voiceProb_sma_de_kurtosis numeric
@attribute output {high,nothigh}

@data

0.009403,0.041121,-8.997939,8.15024,-9.683623,-16.02255,26.5997,-6.100263,12.83801,-0.103391,-10.64715,3.96009,10.60858,0.008469,0.120387,2323,0.129788,2.589576,0.012884,35.61151,2367,5.2906,0.000001,0.199125,6.235819,4.684034,2698,3.221265,3.679103,1219,0.026508,3.135234,3.275821,6.421614,2.788215,-0.014761,-0.000013,4.932152,0.071884,0.15018,3.426294,high
0.002404,0.021953,-16.6075,5.560785,-7.478937,-19.96593,28.4389,0.469207,24.60623,0.167201,-17.2359,4.946098,18.86319,0.005445,0.179673,206,-0.197604,2.565248,0.024125,187.8889,1487,7.524525,0.000001,0.539835,6.059391,6.50858,1067,4.400105,3.524198,196,-0.104472,3.915647,3.586005,6.882315,4.324992,-0.026981,-0.000007,5.25913,0.133495,0.315784,5.155236,high
0.005698,0.026098,-20.97609,13.48208,0.521291,-12.9667,33.99417,-0.795674,20.62209,-0.013486,-18.23546,4.43635,14.79215,0.00363,0.345433,644,1.868688,7.625798,0.01445,52.05262,2189,5.675767,-0.000005,0.829166,4.755414,7.678589,1192,5.084951,3.553711,1248,0.266929,3.316392,3.690835,7.062544,4.507509,-0.054023,0.000002,8.665013,0.110739,0.257879,4.848885,high
0.002316,0.038934,-25.26087,10.11004,-6.750731,-11.53985,34.81811,2.86442,26.31865,-0.187002,-19.9975,5.450599,18.53797,0.00363,0.329704,1696,1.199731,4.890937,0.022333,113.8434,943,6.736919,-0.000006,0.448157,10.09623,7.637769,137,4.972928,4.021715,1835,-0.131554,3.930986,5.453371,9.589556,4.709126,-0.073382,-0.000029,16.08479,0.123995,0.25639,4.360598,high
0.004013,0.037291,-21.49552,27.17381,4.718314,-16.19072,32.03552,0.64043,18.30481,-0.082419,-15.41079,3.600475,13.54575,0.009679,0.332728,949,0.479205,3.323353,0.013821,-4.606566,1464,4.251636,-0.000007,1.589211,4.738455,7.965647,2199,4.018856,3.284987,1352,0.142707,3.685682,4.104178,8.820808,3.523991,-0.053237,0.000002,5.512799,0.162501,0.338147,4.894767,high
0.031377,0.06117,-20.5038,1.695753,-6.053637,-3.731591,20.27586,-1.308923,8.747416,0.081332,-10.37592,2.984765,10.18038,0.094374,0.23533,2240,-0.223284,3.296699,0.001421,0,15,4.966719,0.000002,0.154819,3.502624,3.86747,2314,3.304667,3.166746,1462,0.058783,2.97302,3.752734,6.750719,2.968793,-0.038536,0.000006,5.498181,0.054683,0.105274,3.161988,high
0.008466,0.017818,-14.31106,6.840917,-2.623055,-6.674975,20.74186,-3.678098,23.07692,-0.295705,-11.97634,4.374816,7.245633,0.010889,0.136116,2032,0.286389,3.642645,0.03062,54.33887,1628,3.444465,-0.000001,0.49393,3.034536,7.101435,798,3.472545,3.780783,2753,0.191208,3.416429,3.624511,6.958158,3.374467,-0.020448,0.000002,4.04224,0.115516,0.281894,4.793308,high
0.016752,0.061091,-22.15061,10.6081,-6.154998,-12.74436,28.96885,0.586413,21.47483,-0.025594,-18.30371,4.661106,11.90107,0.024198,0.31579,531,1.703019,6.442451,0.018309,25.84439,843,5.291903,0.000002,0.43847,4.473361,6.208771,134,3.929921,3.794824,943,0.061725,3.901535,3.761998,7.37327,4.605864,-0.057774,0.000014,9.469709,0.127657,0.256431,5.164649,high
0.005698,0.026098,-20.97609,13.48208,0.521291,-12.9667,33.99417,-0.795674,20.62209,-0.013486,-18.23546,4.43635,14.79215,0.00363,0.345433,644,1.868688,7.625798,0.01445,52.05262,2189,5.675767,-0.000005,0.829166,4.755414,7.678589,1192,5.084951,3.553711,1248,0.266929,3.316392,3.690835,7.062544,4.507509,-0.054023,0.000002,8.665013,0.110739,0.257879,4.848885,high
0.001832,0.00861,-22.23994,19.09339,4.245295,-16.88666,38.41868,-3.00605,62.83173,0.243686,-13.16464,5.574155,17.70328,0.012099,0.38294,2707,5.262758,37.04641,0.033917,194.4923,2719,6.459127,0.000002,1.244612,4.826377,9.425193,1433,4.396291,4.586355,2765,0.026561,3.454682,4.391257,8.611054,4.845267,-0.077011,-0.000014,29.97588,0.145147,0.292188,5.054125,high
