@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute std_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute mean_Timbral_Width numeric
@attribute mean_Tonal_Dissonance(HK) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {high,nothigh}

@data
0.565818,1.129791,315.2715,0.937317,0.012892,0.587937,1050.154,high
0.344816,0.442174,762.1954,1.392837,0.067208,1.656656,530.6116,high
0.618443,1.031054,60.88463,0.190517,0.016122,0.183408,735.4342,high
0.552495,1.209699,70.51092,0.36233,0.003237,0.079673,650.9808,high
1.063978,0.74583,216.557,1.059627,0.149595,1.55696,211.1616,high
0.612961,0.71682,165.7585,0.959027,0.055443,0.848912,415.0912,high
0.870274,1.054713,622.1739,1.203461,0.145366,1.563406,890.4293,high
0.434125,0.959948,285.7942,1.212175,0.008765,0.294925,1731.862,high
0.612512,0.679663,322.4345,1.24932,0.040578,1.5317,415.3768,high
0.677631,1.08303,86.7676,0.216957,0.018867,0.377988,738.4777,high
0.421019,1.107941,120.7609,0.546055,0.010294,0.189745,1412.737,high
0.655464,0.877706,302.2527,1.475844,0.086348,1.01071,905.0484,high
0.658074,1.745068,972.9215,2.465754,0.039151,1.461447,516.9627,high
0.575909,0.901761,300.0017,0.732074,0.101148,0.774172,651.0555,high
0.615138,0.715479,161.8058,0.681237,0.042558,0.843652,325.5655,high
0.667215,1.141333,186.7386,1.190388,0.012656,0.535374,596.7673,high
0.565616,1.304556,410.4749,1.144192,0.012136,0.464594,838.6031,high
0.520372,0.926855,56.40091,0.942873,0.046767,0.646913,1170.518,high
0.807337,1.284886,22.24286,0.244884,0.029871,0.422691,513.4087,high
0.749837,0.988353,444.6068,1.268247,0.073479,1.101733,633.4535,high
0.606244,0.862255,159.7943,0.766119,0.024718,0.760348,672.643,high
0.741089,0.661727,116.2361,0.288755,0.020662,0.701076,361.7135,high
0.626664,0.951147,232.4331,0.826868,0.013928,0.345354,790.1012,high
0.502334,0.873574,193.0796,1.734956,0.011269,0.396651,1137.508,high
0.61785,0.78002,685.632,1.538631,0.133162,1.095754,601.4663,high
0.604842,0.856697,285.2258,1.278275,0.045309,0.541903,654.1848,high
0.741285,1.295713,57.20574,0.373408,0.007371,0.234323,508.2205,high
0.550162,1.073727,516.3012,2.709349,0.035332,0.463327,1172.16,high
0.625298,0.878378,121.2045,1.49107,0.020089,0.803396,821.9623,high
0.557737,1.011688,123.8967,0.665889,0.035671,0.412278,581.8546,high
0.626655,1.030098,238.1416,0.540505,0.037503,0.349976,866.1356,high
0.628212,1.210017,532.1862,2.391423,0.072117,1.548501,740.8622,high
0.695387,1.076055,170.9574,0.875337,0.045526,0.706627,659.6408,high
0.566338,1.192056,133.3552,0.488056,0.009295,0.271529,663.6365,high
0.557574,0.766272,266.6659,1.076724,0.026858,0.347483,537.5888,high
0.62057,0.616237,457.8789,1.880108,0.04414,0.962466,666.081,high
1.247755,0.783245,218.315,1.094715,0.148583,1.9669,151.9463,high
1.121703,0.661083,89.33667,0.178519,0.089282,0.681014,190.0125,high
0.57937,1.404288,63.22726,0.614229,0.00568,0.169982,1169.098,nothigh
0.561277,1.185465,388.1315,1.176356,0.02468,0.463364,1016.725,nothigh
0.904676,0.932193,336.8017,0.852421,0.135163,1.310367,496.1106,nothigh
1.018827,0.600252,503.0958,1.719699,0.2855,1.698128,317.1322,nothigh
0.667035,1.454324,200.1191,0.632476,0.030287,0.555626,717.5693,nothigh
0.652828,1.376088,70.64239,0.314863,0.019052,0.213035,573.112,nothigh
0.713913,0.429563,319.4293,0.706017,0.0508,1.388688,553.2341,nothigh
0.849902,0.8427,287.255,0.739996,0.09876,0.882444,345.7262,nothigh
0.564389,1.233892,400.1663,1.022237,0.02462,0.910102,754.8105,nothigh
0.688877,0.586157,204.5858,0.758156,0.033899,0.923805,630.7932,nothigh
0.688877,0.586157,204.5858,0.758156,0.033899,0.923805,630.7932,nothigh
0.635584,0.916192,191.069,0.52561,0.026491,0.419894,740.4802,nothigh
0.570868,1.117096,152.6599,0.384048,0.014182,0.540236,833.7963,nothigh
0.570868,1.117096,152.6599,0.384048,0.014182,0.540236,833.7963,nothigh
0.524445,0.847764,463.9287,1.816901,0.016456,1.125897,1599.696,nothigh
0.524445,0.847764,463.9287,1.816901,0.016456,1.125897,1599.696,nothigh
