@relation 'wav/all//opensmile.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mfcc_sma[1]_linregc2 numeric
@attribute mfcc_sma[7]_kurtosis numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[12]_max numeric
@attribute pcm_RMSenergy_sma_de_linregerrQ numeric
@attribute mfcc_sma_de[2]_range numeric
@attribute mfcc_sma_de[3]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc1 numeric
@attribute mfcc_sma_de[4]_linregc2 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_minPos numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[10]_min numeric
@attribute mfcc_sma_de[10]_linregc1 numeric
@attribute mfcc_sma_de[10]_linregerrQ numeric
@attribute mfcc_sma_de[11]_min numeric
@attribute mfcc_sma_de[12]_max numeric
@attribute output {nostalgic,notnostalgic}

@data
1.436472,2.891572,-6.953794,20.09299,0.000006,11.24622,-0.000003,-0.000012,0.017617,0.241246,376,2.740995,-5.785535,-0.000001,2.597061,-5.447103,4.910418,nostalgic
3.104982,2.872105,-5.874506,12.53614,0.000001,5.112185,-0.000005,-0.000008,0.015866,0.108876,2891,0.809508,-3.070407,0.00001,0.852617,-3.215316,2.961815,nostalgic
-6.996391,3.389361,-1.750099,8.594444,0.000013,7.115909,-0.000009,-0.000006,0.010503,0.079443,1013,1.217144,-3.66107,0.000008,1.368367,-3.651421,4.553042,nostalgic
-6.70984,2.900208,1.673548,23.78021,0.000004,15.49283,0.000001,0.000007,-0.022981,0.332931,1998,3.909282,-9.787782,-0.000001,3.795669,-8.06962,8.834684,nostalgic
-4.08217,3.804884,-3.213165,13.72777,0.000006,7.947271,0.000003,0.000002,-0.00216,0.279007,188,1.17701,-3.858436,0.000001,1.174151,-3.545327,4.210538,nostalgic
-4.67594,3.258904,-6.656412,21.60499,0.000007,6.705362,0,-0.000002,-0.000045,1.08762,1536,0.79817,-3.351493,-0.000002,1.022397,-3.639312,4.279225,nostalgic
-2.724573,3.175217,-3.930911,18.19026,0.000004,6.008623,0.000012,0.000009,-0.014202,0.097577,2889,1.050053,-4.274371,0.000003,1.127439,-5.589591,3.597675,nostalgic
-6.241188,2.770164,-2.085523,15.39976,0.000006,7.873359,-0.000013,-0.00001,0.013501,0.075254,80,1.01062,-5.154507,-0.000005,1.191206,-4.508954,5.009294,nostalgic
-0.273873,3.11289,-1.764833,11.89456,0.000011,6.266262,0.000006,-0.000002,0.006311,-0.173949,2960,1.335472,-4.183205,0.000003,1.242358,-3.358241,4.266305,nostalgic
-4.368892,2.976538,-1.729182,14.06235,0.000011,5.465969,-0.000005,0.000002,-0.005168,0.187347,250,0.857573,-3.967649,0.000003,0.958562,-3.352599,3.008744,nostalgic
-10.60824,3.551343,3.052022,9.370967,0.000004,6.191473,0.000001,0.000001,0.000702,0.170795,1667,0.999442,-3.621989,-0.000001,0.95991,-3.535767,3.164064,nostalgic
-3.351336,3.179855,-2.502086,20.47887,0.000006,7.120574,0.000001,-0.000001,0.000634,-0.033845,2241,0.811896,-4.234704,0.000007,0.961881,-4.904251,4.627319,nostalgic
8.605765,2.370184,-3.511315,19.82925,0.000005,5.103189,0,-0.000003,0.005913,0.675691,2314,0.779406,-5.055761,0.000005,1.198332,-3.894423,5.485122,nostalgic
-4.245117,3.356061,-0.357706,5.026786,0.000003,10.08798,0.000005,0.000004,-0.009192,-0.398458,2958,1.180429,-3.915699,0.000002,1.172422,-4.417965,4.365466,nostalgic
-10.89244,3.346675,-2.205435,13.17174,0.000006,5.404638,0.000002,0.000001,-0.000353,-0.148406,406,0.790483,-3.825871,-0.000003,0.987743,-4.269016,3.143525,nostalgic
4.062107,3.489486,-5.455511,17.59877,0,8.155283,0.000002,-0.000003,0.003257,-0.048602,904,1.338526,-4.071233,-0.000006,1.339365,-4.796605,4.804327,nostalgic
-4.298625,2.776405,-5.033873,6.797874,0.000006,8.996069,0.000006,0.000001,-0.002247,0.092434,2834,0.628552,-3.770442,0.000009,0.672436,-3.803384,3.885278,nostalgic
-3.387783,2.784022,-11.21346,11.21046,0.000001,6.902972,0.000001,-0.000003,0.001708,0.45023,1250,0.760792,-3.92823,-0.000003,0.896638,-3.747282,3.536927,nostalgic
